frameNumber,hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
0,84066838,0,2,9,2,62,228
0,84135716,0,2,9,3,49,214
0,84187685,0,2,9,4,102,213
0,84243741,0,2,9,5,139,221
0,86071033,0,2,10,1,170,1
0,86183382,0,2,10,3,243,36
0,86372679,0,2,10,5,15,179
0,135643579,0,3,1,14,193,63
0,136853213,0,3,2,1,54,29
0,141431342,0,3,4,7,18,204
0,141548952,0,3,4,8,221,98
0,145720492,0,3,6,8,132,78
0,148206619,0,3,7,14,116,223
0,149687754,0,3,8,5,13,48
0,149892752,0,3,8,8,46,106
0,150160258,0,3,8,12,67,120
0,150254253,0,3,8,13,178,77
0,151802883,0,3,9,5,84,247
0,153634017,0,3,10,1,68,25
0,153901040,0,3,10,5,87,10
0,156072509,0,3,11,6,122,189
0,166901248,0,3,16,11,182,250
0,168997102,0,3,17,11,176,12
0,173184566,0,3,19,11,150,196
0,176685570,0,3,21,1,2,248
0,178787318,0,3,22,1,19,4
0,179178055,0,3,22,7,10,179
0,179710743,0,3,22,15,43,227
0,181330734,0,3,23,7,227,204
0,181360356,0,3,23,8,86,22
0,181376203,0,3,23,8,148,47
0,181547967,0,3,23,11,51,59
0,181692877,0,3,23,13,105,45
0,181842620,0,3,23,15,178,62
0,203908533,0,4,2,1,101,69
0,204893923,0,4,2,16,110,23
0,208652291,0,4,4,9,200,247
0,210594391,0,4,5,7,106,163
0,210749171,0,4,5,9,198,7
0,214907272,0,4,7,9,57,114
0,217373481,0,4,8,14,219,209
0,217629601,0,4,8,18,195,89
0,218799442,0,4,9,4,157,168
0,219065741,0,4,9,8,173,109
0,219328645,0,4,9,12,176,117
0,219417787,0,4,9,14,12,63
0,222813837,0,4,11,1,222,109
0,223047811,0,4,11,5,112,119
0,223932811,0,4,11,18,241,111
0,229382099,0,4,14,6,23,39
0,240315688,0,4,19,12,237,210
0,248670378,0,4,23,12,104,80
0,254644337,0,4,26,7,144,137
0,255184664,0,4,26,15,207,226
0,256789298,0,4,27,8,75,200
0,256834032,0,4,27,8,249,10
0,256846554,0,4,27,9,42,32
0,257021357,0,4,27,11,213,77
0,257170116,0,4,27,14,26,54
0,257315281,0,4,27,16,81,41
0,403834795,1,3,1,11,7,79
0,410351058,1,3,4,14,117,40
0,412613011,1,3,5,16,249,103
0,420876506,1,3,9,15,16,32
0,420954430,1,3,9,16,65,188
0,443507046,1,3,20,8,97,148
0,445984723,1,3,21,14,47,39
0,452045257,1,3,24,10,169,49
0,477453378,1,4,4,15,92,184
0,483852529,1,4,7,17,0,9
0,487980904,1,4,9,15,255,146
0,490131717,1,4,10,16,209,245
0,492229108,1,4,11,16,209,6
0,516932774,1,4,23,9,196,84
0,523805324,1,4,26,18,162,110
0,527483884,1,4,28,10,195,14
0,527664477,1,4,28,13,133,157
