batch,track_id,hit_IDs,tids,num_hits,correct_track
30,0,"[448168439, 446070538, 521496469, 164161433]","[83436, 83436, 83436, 83436]",4,1
31,0,"[713687444, 786962579, 79936004, 162315743, 10693790, 82031096]","[59864, 59864, 78940, 78940, 78940, 78940]",6,0
33,0,"[418622953, 487813853, 86123909, 173025494, 225785915, 2477096]","[100068, 100068, 41684, 41684, 67921, 67921]",6,0
33,1,"[246410099, 688634207, 69315901, 181203310, 771084362, 6684143]","[41684, 67921, 70447, 70447, 95635, 95635]",6,0
33,2,"[142108795, 209166924, 771084362, 75851505, 69315901, 6684143]","[41684, 41684, 95635, 95635, 70447, 95635]",6,0
33,3,"[403627860, 403644750, 761730279, 156617900, 69315901, 75851505, 489565063, 2197136]","[100068, 100068, 67921, 67921, 70447, 95635, 70447, 70447]",8,0
33,4,"[403497560, 403555949, 202479683, 135681461, 86123909, 688634207, 2197136, 256649092]","[100068, 100068, 67921, 67921, 41684, 67921, 70447, 70447]",8,0
33,5,"[403602060, 403631496, 742963008, 420373444, 69315901, 403400767, 14828424, 156617900]","[100068, 100068, 67921, 70447, 70447, 100068, 41684, 67921]",8,0
33,6,"[202479683, 420373444, 71680666, 135397776, 2197136, 146166821]","[67921, 70447, 67921, 67921, 70447, 95635]",6,0
33,7,"[225785915, 135681461, 71680666, 673771379, 761730279, 2477096]","[67921, 67921, 67921, 67921, 67921, 67921]",6,1
33,8,"[757786863, 755688966, 225785915, 420373444]","[67921, 67921, 67921, 70447]",4,0
33,9,"[403391302, 403400767, 761730279, 420373444]","[100068, 100068, 67921, 70447]",4,0
33,10,"[489565063, 217536622, 256649092, 702023117]","[70447, 95635, 70447, 95635]",4,0
33,11,"[256649092, 217536622, 146166821, 217536622]","[70447, 95635, 95635, 95635]",4,0
33,12,"[403497560, 403631496, 673771379, 742963008]","[100068, 100068, 67921, 67921]",4,0
33,13,"[702023117, 146166821, 135397776, 742963008]","[95635, 95635, 67921, 67921]",4,0
34,0,"[84279909, 165180349, 707777885, 781015012, 84279909, 2289856]","[57102, 57102, 57102, 57102, 57102, 81692]",6,0
35,0,"[166667930, 12809332, 69586144, 175203285]","[44422, 44422, 44422, 44422]",4,1
35,1,"[173305880, 374835, 175083467, 81965958]","[44422, 44422, 44422, 44422]",4,1
35,2,"[166763633, 12922704, 2340588, 69451185]","[44422, 44422, 44422, 44422]",4,1
36,0,"[12999651, 162842721, 82194015, 162842721, 181802719, 255163258]","[75061, 75061, 75061, 75061, 102644, 102644]",6,0
36,1,"[236241535, 255163258, 179301603, 181802719]","[75061, 102644, 102644, 102644]",4,0
38,0,"[481150496, 447952697, 6675095, 75884183]","[101008, 101008, 101059, 101059]",4,0
38,1,"[215004933, 439189352, 512609755, 8499015]","[101059, 103685, 103685, 103685]",4,0
41,0,"[265490, 69480891, 177214503, 252655049]","[107709, 107709, 107709, 107709]",4,1
41,1,"[14812189, 86243351, 14812189, 170915247, 242432352, 8735067]","[107711, 107711, 107711, 107711, 107711, 107711]",6,1
41,2,"[168535056, 86243351, 10879428, 80090250, 223475292, 80090250]","[107711, 107711, 107711, 107711, 107711, 107711]",6,1
41,3,"[168535056, 241911683, 168535056, 80090250, 4583151, 71648849]","[107711, 107711, 107711, 107711, 92043, 92043]",6,0
41,4,"[693369989, 762439587, 152201016, 80090250, 14812189, 80090250]","[92043, 92043, 107711, 107711, 107711, 107711]",6,0
41,5,"[77939502, 80090250, 168535056, 170915247, 142094263, 498176038, 241911683, 14812189]","[107711, 107711, 107711, 107711, 92043, 107709, 107711, 107711]",8,0
41,6,"[142094263, 426881095, 242194228, 171165909, 241911683, 77939502, 241911683, 10879428]","[92043, 107709, 107711, 107711, 107711, 107711, 107711, 107711]",8,0
42,0,"[208102743, 12854085, 420986395, 181142717, 84164264, 231720809]","[108758, 108758, 108758, 109127, 108758, 108758]",6,0
44,0,"[158028688, 229306015, 158028688, 6632501, 75845265, 141667981]","[60022, 60022, 60022, 60022, 60022, 60022]",6,1
45,0,"[82028196, 156114222, 514417190, 10711556]","[75131, 75131, 75131, 75131]",4,1
46,0,"[248680656, 14830008, 172949390, 246312484, 77732141, 147820459]","[49889, 49889, 49889, 49889, 49889, 49889]",6,1
48,0,"[77815817, 158125267, 149567798, 220851786]","[105714, 105714, 105714, 105714]",4,1
48,1,"[151851748, 77865917, 160165766, 229323802]","[105714, 105714, 105714, 105714]",4,1
50,0,"[439595053, 406386488, 517521749, 420380952, 473473046, 14859191, 86167786, 168702936]","[40351, 40351, 53053, 116058, 40351, 40351, 40351, 40351]",8,0
50,1,"[242060275, 239962883, 437551862, 435453958]","[40351, 40351, 40351, 40351]",4,1
51,0,"[711520274, 784848438, 10623598, 82037473]","[74445, 74445, 74445, 74445]",4,1
52,0,"[711747003, 785091028, 8813604, 80107970]","[66004, 66004, 66004, 66004]",4,1
52,1,"[785091028, 487737823, 156511710, 227804385]","[66004, 117830, 66004, 66004]",4,0
53,0,"[409887006, 479083936, 86369384, 170943818, 15053410, 170943818]","[52438, 52438, 52438, 52438, 52438, 52438]",6,1
55,0,"[75586988, 75587244, 764719799, 4443086, 693483091, 4443086]","[117826, 117826, 85593, 85593, 85593, 85593]",6,0
55,1,"[764719799, 71535687, 4443086, 75614871, 693483091, 71535687]","[85593, 85593, 85593, 117826, 85593, 85593]",6,0
55,2,"[71535687, 75614871, 414280245, 75616434, 137469126, 204577377]","[85593, 117826, 109504, 117826, 85593, 85593]",6,0
56,0,"[2421185, 69420644, 489176361, 69307266, 256631040, 417902095]","[109583, 109583, 118791, 118791, 106927, 109583]",6,0
56,1,"[489176361, 2186194, 2335423, 69465452, 418130652, 485259797]","[118791, 118791, 106927, 106927, 106927, 106927]",6,0
56,2,"[256619200, 223026763, 256619200, 153831278, 4571531, 73788380]","[118791, 121519, 118791, 121519, 121519, 121519]",6,0
56,3,"[181218356, 258729970, 418130652, 69465452, 487126289, 2421185]","[106927, 106927, 106927, 106927, 109583, 109583]",6,0
56,4,"[183356664, 181258506, 258769614, 223026763]","[109583, 109583, 109583, 121519]",4,0
57,0,"[75762190, 148055951, 75762190, 217271840, 770293177, 8672240]","[89498, 89498, 89498, 89498, 89498, 89498]",6,1
59,0,"[84128293, 168612736, 713660775, 789102008, 713660775, 6648657]","[84959, 84959, 123940, 123940, 123940, 123940]",6,0
59,1,"[470489993, 470490249, 403194478, 403351656, 470490249, 14894829]","[84959, 84959, 84959, 84959, 84959, 84959]",6,1
60,0,"[248865594, 786911139, 238230536, 166673012, 795375990, 84218084, 12920713, 84218084]","[62063, 62063, 62063, 62063, 62063, 62063, 62063, 62063]",8,1
60,1,"[166976139, 240328183, 8574090, 77787741]","[62063, 62063, 124872, 124872]",4,0
60,2,"[248534628, 175481722, 8692101, 77907288]","[62063, 62063, 124872, 124872]",4,0
60,3,"[772333316, 240707558, 701067132, 774430708, 12730273, 81927470]","[62063, 62063, 62063, 62063, 124872, 124872]",6,0
60,4,"[248236630, 175153570, 795375990, 77787741, 12920713, 77787741]","[62063, 62063, 62063, 124872, 62063, 124872]",6,0
60,5,"[162723411, 236101335, 248142278, 81927470, 81927470, 8692101]","[62063, 62063, 62063, 124872, 124872, 124872]",6,0
60,6,"[166446066, 164348677, 784987862, 701294414, 174855063, 12730273]","[62063, 62063, 81774, 81774, 62063, 124872]",6,0
60,7,"[248142278, 174855063, 774638640, 8692101]","[62063, 62063, 81774, 124872]",4,0
61,0,"[414029512, 483181810, 80112513, 165180875, 485917473, 264836]","[53085, 53085, 21693, 21693, 96728, 96728]",6,0
61,1,"[481083906, 418814684, 707376522, 8716838, 67386683, 179312807]","[53085, 96728, 21693, 21693, 96728, 96728]",6,0
62,0,"[478640652, 705283064, 206038874, 198101, 206038874, 67334273]","[60838, 71316, 126290, 126290, 126290, 126290]",6,0
62,1,"[413754864, 411655431, 2548414, 69652322, 146175260, 215323868]","[60838, 60838, 78980, 78980, 78980, 78980]",6,0
62,2,"[703183884, 8523873, 183722846, 202588801, 79911386, 160785862]","[71316, 71316, 78980, 78980, 71316, 71316]",6,0
63,0,"[71439236, 137212314, 495865248, 2350375]","[127836, 127836, 127836, 127836]",4,1
63,1,"[14980657, 67479258, 135287483, 424561195]","[111793, 111793, 120696, 127836]",4,0
64,0,"[216830077, 434891817, 75818430, 145627481, 227004070, 6590880]","[4878, 82573, 4878, 4878, 4878, 4878]",6,0
65,0,"[164282313, 235492128, 12679049, 84014047]","[86932, 86932, 86932, 86932]",4,1
65,1,"[8651423, 77980600, 148004796, 217193617]","[90406, 90406, 90406, 90406]",4,1
65,2,"[12886911, 84198818, 164626804, 235883300]","[90406, 90406, 90406, 90406]",4,1
66,0,"[225940852, 138969115, 180947262, 82042, 180947262, 67222587]","[84196, 86893, 86893, 127387, 86893, 127387]",6,0
66,1,"[705387067, 778729441, 153962357, 67222587]","[84196, 84196, 84196, 127387]",4,0
66,2,"[173309338, 153962357, 180947262, 258510066]","[84196, 84196, 86893, 86893]",4,0
66,3,"[173309338, 180947262, 153962357, 206050843]","[84196, 86893, 84196, 86893]",4,0
67,0,"[139796082, 206866537, 12857433, 84157553]","[104797, 104797, 104797, 104797]",4,1
68,0,"[422379371, 493675983, 331138, 67537782]","[123267, 123267, 103697, 103697]",4,0
69,0,"[703912045, 777247979, 703912045, 8700225, 77888836, 150116782]","[127366, 127366, 127366, 127366, 127366, 127366]",6,1
69,1,"[419980418, 491240364, 419980418, 8700225]","[96697, 96697, 96697, 127366]",4,0
70,0,"[86305576, 170894513, 408061235, 475190322, 161949, 133747]","[105777, 105777, 92020, 92020, 134335, 134335]",6,0
70,1,"[132984, 158645, 411673408, 480873863, 178801328, 67245624]","[134335, 134335, 134334, 134334, 92020, 134334]",6,0
70,2,"[313078, 14993674, 475020340, 14993674, 178801328, 407924612, 253509, 67245624]","[105777, 105777, 105777, 105777, 92020, 105777, 134334, 134334]",8,0
70,3,"[420633, 264818, 174984281, 250421222]","[134335, 134335, 134334, 134334]",4,0
70,4,"[88740, 161440, 407924612, 253509]","[134335, 134335, 105777, 134334]",4,0
71,0,"[82012207, 164671602, 12812516, 164671602, 671999789, 739064681]","[106957, 106957, 106957, 106957, 106957, 106957]",6,1
