tid_array,traj_p,traj_pt,traj_lambda,traj_phi,num_hits_x,hit_IDs,num_hits_y
4159049,[16.37838782],[14.14011824],[-0.28793922],[0.91503518],5,"[4585122, 139466451, 71577092, 206516509]",4
4159081,[19.70223618],[19.16622201],[0.13427972],[-1.40957623],12,[],0
4159119,[21.19228284],[15.83846043],[-0.39739735],[0.11848245],6,[],0
4159326,[8.06730604],[7.21127526],[0.26222619],[0.21640912],4,[],0
4160165,[24.40376729],[24.32023477],[0.0506759],[-0.51753548],12,[],0
4160928,[27.09341919],[26.44664754],[-0.11632565],[-0.82552071],6,[],0
4160946,[18.37302177],[13.13003465],[-0.42396969],[-0.88141461],6,[],0
4160954,[22.0593535],[20.72025459],[-0.18899896],[0.33789235],6,[],0
4161849,[25.16996523],[21.37956349],[0.31259079],[-1.57473061],6,[],0
4162440,[28.34249087],[18.6796734],[0.47603444],[1.16579896],5,[],0
4162441,[4.06226363],[3.5480565],[-0.27681647],[0.05694881],4,[],0
4162592,[28.17030247],[26.57990478],[0.19174847],[0.60023165],10,[],0
4163534,[24.25061734],[22.93425562],[-0.17835448],[-0.31907465],6,[],0
4163580,[4.78589159],[4.52599079],[-0.17847092],[1.53922615],11,[],0
4164657,[18.23883735],[17.56507436],[-0.14606553],[1.18864777],9,"[159955745, 71593987, 212295651, 4476874, 73690872, 231240535, 227046616, 139484959]",8
4164714,[20.34448265],[20.296423],[-0.03319186],[0.75029997],8,[],0
4165376,[18.78842122],[17.6148096],[-0.19182296],[-0.407122],7,[],0
4165689,[3.18064646],[3.05155375],[0.1632151],[0.17483179],14,[],0
4166061,[20.66256264],[18.65321545],[-0.24127809],[1.65511142],6,"[75566723, 437548905, 6482062, 216827731, 508840979, 147677627]",6
4166274,[21.7148191],[19.93064131],[0.23081973],[-0.89985323],5,[],0
4168743,[27.89220587],[27.84668932],[-0.02676299],[-1.53409523],23,[],0
4168806,[19.04584078],[9.0679828],[0.59969515],[0.27427202],6,[],0
4169457,[8.73940387],[8.64851697],[-0.0750501],[-0.72660308],10,[],0
4169669,[16.16415416],[15.76799277],[-0.1179453],[0.21621254],4,[],0
4170787,[18.8727904],[15.24314096],[0.35392847],[1.06129467],5,[],0
4170939,[27.57133308],[27.12490669],[0.10460764],[-1.35334385],23,[],0
4170944,[26.56425653],[15.83008773],[0.52097032],[0.42322783],16,[],0
4170976,[18.70284862],[17.60480518],[-0.18575916],[0.15471845],8,[],0
4170986,[20.72393287],[18.86708388],[-0.23124682],[1.62068622],6,"[145750105, 75795897, 435697735, 214903047]",4
4171047,[22.63017985],[22.62986802],[0.0077696],[-1.59871171],16,"[84276195, 172751152, 246120019, 172885045, 67323254, 246254682, 152013533]",7
4171489,[28.21453747],[17.82775003],[0.49575441],[-1.60190573],4,[],0
