frame_array,tid_array,traj_p,traj_pt,traj_lambda,traj_phi,num_hits_x,batch,track_id,hit_IDs,tid,traj_ps,traj_pts,traj_lambdas,traj_phis,num_hits_y,correct_track
66,71316,[15.20021142],[7.54080465],[0.58705581],[-1.08167482],5,,,,,,,,,,
66,60838,[14.8179336],[8.30708185],[0.54497275],[0.63024985],4,,,,,,,,,,
67,117032,[15.87423543],[15.77254231],[0.06755576],[0.38145252],60,,,,,,,,,,
67,40325,[24.49129275],[23.96542003],[0.1197775],[-1.13532952],6,,,,,,,,,,
68,117102,[14.18350283],[13.95835717],[-0.0939017],[0.19910655],6,,,,,,,,,,
68,111747,[25.1981058],[22.67239727],[-0.24509054],[0.65174952],28,,,,,,,,,,
69,128899,[14.30750864],[12.32972891],[0.299395],[-0.10521317],7,,,,,,,,,,
70,90406,[23.18253247],[22.39762857],[0.14931482],[1.40559108],10,,,,,,,,,,
71,104722,[10.96995875],[10.96064543],[-0.01794971],[0.6999902],40,,,,,,,,,,
71,56068,[23.08052939],[21.95656305],[-0.16859349],[1.15198699],7,,,,,,,,,,
73,103697,[29.22161796],[16.54837017],[0.54110892],[0.01508997],4,,,,,,,,,,
73,102890,[15.98739437],[15.46023733],[0.14741214],[1.19807079],8,,,,,,,,,,
74,133011,[11.70116493],[11.56984549],[0.08787969],[-0.52135694],10,,,,,,,,,,
74,94667,[28.91193179],[22.53816305],[-0.36979323],[0.8793451],4,,,,,,,,,,
74,48198,[25.22980244],[23.90100646],[0.18531228],[0.48583323],6,,,,,,,,,,
74,134299,[3.51532371],[1.36114549],[0.65471175],[-0.18058973],34,,,,,,,,,,
75,105777,[28.39770836],[25.82677904],[-0.23248536],[-0.31522348],7,,,,,,,,,,
76,33289,[13.74610496],[13.74256337],[0.01743012],[1.40191021],6,,,,,,,,,,
76,122632,[21.20063283],[9.20563093],[-0.61601165],[1.19411707],6,,,,,,,,,,
77,129998,[8.4196891],[7.92549091],[0.19549359],[0.86943959],9,,,,,,,,,,
77,136051,[26.32176006],[16.97224408],[-0.47672824],[1.6265371],4,,,,,,,,,,
78,110347,[24.64078353],[21.44297701],[-0.28028371],[1.33174292],6,,,,,,,,,,
78,110341,[15.89810652],[8.27936233],[0.57118506],[0.70465417],4,,,,,,,,,,
79,137640,[26.89171678],[26.80187452],[0.0501228],[0.13799213],19,,,,,,,,,,
80,89522,[15.66411474],[15.64412242],[-0.02310716],[0.17694214],91,,,,,,,,,,
81,139352,[13.88977661],[13.33042767],[-0.15277131],[1.23036495],6,,,,,,,,,,
83,130978,[20.40633251],[16.0137571],[-0.365188],[1.11107333],5,,,,,,,,,,
83,135308,[19.22257583],[17.47714122],[0.24257966],[1.07514367],6,,,,,,,,,,
83,134670,[18.17159255],[16.38144011],[0.25263635],[1.16660724],6,,,,,,,,,,
83,130967,[27.22564945],[26.65125671],[0.11876668],[-1.09217746],8,,,,,,,,,,
83,124117,[16.67389525],[16.6611542],[-0.01677785],[-1.16946133],4,,,,,,,,,,
83,141452,[11.58138124],[10.65381014],[-0.21820676],[-0.43723015],5,,,,,,,,,,
83,140822,[26.38752605],[9.32440428],[0.67443681],[-0.28997776],4,,,,,,,,,,
84,104684,[28.45528389],[22.64051721],[-0.35532213],[0.60764869],5,,,,,,,,,,
84,66121,[16.66538605],[16.40179575],[-0.09372079],[0.52606531],5,,,,,,,,,,
84,113240,[11.06959944],[10.77721528],[0.13238469],[-1.11780855],10,,,,,,,,,,
84,141621,[28.76864654],[27.81340917],[-0.13817578],[-0.52322301],8,,,,,,,,,,
85,127948,[19.42179426],[19.42103948],[0.00974392],[0.48718098],41,,,,,,,,,,
85,129989,[20.35172847],[19.02104355],[-0.19641541],[1.70447406],7,,,,,,,,,,
86,58867,[24.88983156],[20.45080235],[-0.33084882],[-0.0391586],6,,,,,,,,,,
86,113139,[28.096221],[25.78307952],[-0.22131668],[-1.37988496],30,,,,,,,,,,
87,57084,[23.66770681],[14.4306796],[-0.50167232],[1.63612079],4,,,,,,,,,,
88,145414,[23.92081247],[18.7629005],[0.37523812],[0.92740306],6,,,,,,,,,,
88,113037,[21.8811005],[19.97626136],[-0.22781666],[1.28621269],9,,,,,,,,,,
88,99500,[21.78869908],[17.65615026],[0.35142002],[-0.9564317],6,,,,,,,,,,
88,98839,[23.99078604],[21.25130373],[0.2719755],[-0.87447082],6,,,,,,,,,,
89,129908,[20.19126452],[18.17896741],[0.25409716],[0.09642167],6,,,,,,,,,,
89,82680,[25.10220339],[17.89449196],[0.43508101],[-0.69601941],14,,,,,,,,,,
89,123375,[14.12273186],[12.63586053],[-0.25143924],[1.2454291],6,,,,,,,,,,
92,131780,[9.76184595],[9.6549097],[-0.0771556],[0.07538349],47,,,,,,,,,,
93,140332,[26.98286935],[24.33594938],[-0.24236339],[-0.11368431],6,,,,,,,,,,
93,149155,[25.21097921],[18.29849974],[-0.41503402],[1.06434391],6,,,,,,,,,,
93,149154,[15.49921912],[13.90402662],[0.25822039],[-1.16423138],5,,,,,,,,,,
94,149432,[13.41051885],[12.12990367],[-0.23902901],[1.48274114],6,,,,,,,,,,
94,149796,[13.38998186],[11.58775206],[-0.2856763],[-1.33033007],6,,,,,,,,,,
94,100248,[20.11314961],[10.36916821],[-0.56482583],[1.35875635],4,,,,,,,,,,
