frame_array,tid_array,traj_p,traj_pt,traj_lambda,traj_phi,num_hits_x,batch,track_id,hit_IDs,tid,traj_ps,traj_pts,traj_lambdas,traj_phis,num_hits_y,correct_track
3807,3303674,[24.59052403],[23.68558073],[-0.14577097],[-0.97090174],7,,,,,,,,,,
3808,3407619,[17.3308461],[11.7713501],[-0.45132707],[-1.46505223],5,,,,,,,,,,
3809,3402420,[26.85081072],[26.84692833],[-0.00454929],[-1.67282156],38,,,,,,,,,,
3809,3420354,[19.01903758],[17.95465159],[-0.1812044],[-0.61716807],7,,,,,,,,,,
3810,3380074,[21.95753681],[9.36131771],[-0.6208397],[-0.85431521],6,,,,,,,,,,
3810,3424361,[3.93331433],[2.42971077],[-0.49633695],[-1.32691289],9,,,,,,,,,,
3811,3425039,[24.56106256],[21.37509477],[-0.28021551],[1.23029647],6,,,,,,,,,,
3812,3406222,[26.20715564],[26.12652877],[0.04829434],[0.11027176],17,,,,,,,,,,
3812,3421888,[21.29896225],[14.59977939],[0.45630528],[1.12069503],6,,,,,,,,,,
3812,3425277,[26.37625883],[21.10625185],[0.36087697],[-0.17478965],6,,,,,,,,,,
3813,3425309,[19.77799946],[19.56456207],[-0.07653225],[1.60934106],6,,,,,,,,,,
3814,3408472,[27.2111286],[27.12301697],[-0.03969301],[1.62437748],10,,,,,,,,,,
3814,3424306,[24.27080737],[22.73838664],[-0.19288648],[-0.42001577],7,,,,,,,,,,
3814,3371351,[25.07112707],[24.38200219],[0.13494607],[0.52469853],10,,,,,,,,,,
3815,3428861,[23.5726201],[15.22274775],[-0.47602229],[0.54207951],6,,,,,,,,,,
3815,3428863,[16.3316267],[13.04652508],[0.36214075],[1.58631706],8,,,,,,,,,,
3818,3431591,[6.67533745],[6.65951868],[-0.03326109],[-1.68546001],14,,,,,,,,,,
3818,3431589,[23.06714251],[20.15318404],[0.28611035],[-1.54677762],11,,,,,,,,,,
3818,3408356,[15.10541433],[14.41339095],[-0.16334586],[0.35281437],4,,,,,,,,,,
3819,3391285,[18.13502828],[18.11404688],[-0.02176633],[0.31830794],15,,,,,,,,,,
3819,3432247,[27.38430861],[26.56784761],[0.14036855],[0.91593903],9,,,,,,,,,,
3819,3400289,[23.59143883],[20.37003341],[0.29753221],[-1.29832251],6,,,,,,,,,,
3820,3423295,[19.113287],[17.26977836],[-0.24025658],[0.51947939],6,,,,,,,,,,
3821,3411517,[23.08920651],[23.04946615],[-0.02761757],[1.38095865],84,,,,,,,,,,
3821,3433237,[28.19495696],[25.06273536],[0.26825287],[-0.54209486],7,,,,,,,,,,
3822,3360012,[22.31653933],[21.51328989],[-0.14410147],[0.86430679],14,,,,,,,,,,
3822,3424400,[18.74840316],[17.51249988],[0.2069777],[1.58802867],10,,,,,,,,,,
3822,3347463,[27.17866181],[26.61819076],[-0.10774312],[-1.07812996],8,,,,,,,,,,
3822,3434889,[27.88382598],[27.09640545],[0.13672181],[-0.74227613],8,,,,,,,,,,
3823,3435838,[15.59363563],[15.28235044],[-0.10592936],[-1.1877182],26,,,,,,,,,,
3823,3426169,[18.30314314],[15.08460034],[-0.32842471],[-1.14299022],6,,,,,,,,,,
3823,3417763,[28.45021961],[24.5755992],[-0.28740385],[0.75514809],4,,,,,,,,,,
3824,3435018,[28.39724232],[20.59242154],[-0.41555929],[1.04181459],4,,,,,,,,,,
3825,3424262,[25.70917603],[22.85022743],[-0.25866278],[-1.39745795],8,,,,,,,,,,
3825,3419917,[22.11550127],[18.67122221],[0.31795333],[0.2569935],4,,,,,,,,,,
3826,3416399,[26.98764088],[25.36650978],[0.19769552],[1.65437546],10,,,,,,,,,,
3827,3438905,[22.42437005],[22.41854041],[-0.00775835],[-1.47406391],24,,,,,,,,,,
3827,3434216,[22.00923393],[15.63878427],[-0.42717981],[0.34653845],6,,,,,,,,,,
3827,3438906,[28.84826728],[28.53126449],[0.08699736],[0.2802034],8,,,,,,,,,,
3827,3439164,[17.72761988],[13.08031264],[-0.40527582],[1.58545726],4,,,,,,,,,,
3828,3439617,[9.83888013],[9.75601143],[-0.06703964],[1.67156887],17,,,,,,,,,,
3828,3438376,[9.82055348],[6.94603035],[0.43952915],[-0.68874639],4,,,,,,,,,,
3829,3440479,[14.69500279],[14.65307367],[-0.0369638],[-1.67906318],152,,,,,,,,,,
3829,3440477,[17.49776238],[11.24896896],[-0.47814023],[-1.05193144],6,,,,,,,,,,
3829,3427084,[15.33204122],[14.71569211],[0.16235724],[-0.5254152],11,,,,,,,,,,
3830,3382420,[25.98901308],[25.98613549],[-0.00337343],[-0.52025899],67,,,,,,,,,,
3830,3440926,[19.03492491],[18.12111427],[-0.16735306],[-0.94861081],9,,,,,,,,,,
3831,3421063,[29.22909238],[28.93143843],[-0.07419824],[0.03956442],8,,,,,,,,,,
3831,3429034,[24.2211467],[24.1956071],[-0.02055801],[0.12344056],28,,,,,,,,,,
3831,3441673,[25.41579592],[24.9376708],[-0.10267326],[1.56256475],8,,,,,,,,,,
3831,3406229,[25.68829589],[24.6982041],[-0.14931711],[-0.67657404],5,,,,,,,,,,
3831,3436199,[22.99036957],[16.92563933],[-0.40660855],[-0.35096104],10,,,,,,,,,,
3831,3441672,[25.05006389],[24.85642341],[-0.06400627],[-0.17733111],7,,,,,,,,,,
3831,3321988,[17.67313687],[15.35782549],[-0.28167452],[1.04669586],4,,,,,,,,,,
3832,3404373,[17.57158242],[16.86750935],[-0.15236755],[-0.44432563],7,,,,,,,,,,
3832,3410366,[20.74134826],[11.63350988],[0.5447614],[-1.13233768],7,,,,,,,,,,
3833,3443392,[11.59538685],[11.19685767],[-0.14069724],[0.34763691],6,,,,,,,,,,
3833,3439145,[12.49207403],[7.84007746],[0.49884733],[1.68795661],13,,,,,,,,,,
3834,3342769,[13.19387155],[13.13965937],[0.05506393],[-0.7039633],21,,,,,,,,,,
3834,3408387,[15.02830507],[13.22452783],[-0.26914541],[1.70031966],5,,,,,,,,,,
3835,3409526,[20.8238379],[20.7313902],[-0.04731497],[-1.23776619],7,,,,,,,,,,
3835,3445372,[26.59256705],[24.96273439],[-0.18993633],[-0.75677526],6,,,,,,,,,,
3836,3446115,[28.91294938],[19.46863992],[0.46543088],[1.06017455],5,,,,,,,,,,
3836,3446370,[26.06001037],[21.08620298],[-0.34281324],[-1.51991938],6,,,,,,,,,,
3838,3420370,[24.31971996],[22.92156547],[-0.18374387],[0.03647533],7,,,,,,,,,,
3838,3411387,[21.70495444],[20.31786243],[-0.19410138],[0.36159559],8,,,,,,,,,,
3838,3378054,[10.86985691],[10.55154135],[0.13916942],[-1.24965727],12,,,,,,,,,,
3839,3448908,[20.5176354],[20.44218422],[0.05235003],[0.26532782],19,,,,,,,,,,
3839,3437509,[7.3153243],[7.31518579],[0.00145665],[-0.37506267],15,,,,,,,,,,
3839,3426003,[17.96088061],[17.7423751],[0.09129716],[-1.30285961],10,,,,,,,,,,
3840,3421985,[20.92485559],[20.29597798],[0.14091746],[0.52517529],14,,,,,,,,,,
3840,3449862,[24.78486603],[22.2015917],[0.25983771],[-1.51099391],9,,,,,,,,,,
3840,3449860,[21.01886912],[16.36188926],[-0.37078303],[-0.09758237],5,,,,,,,,,,
3841,3440689,[14.75980589],[13.53478688],[-0.22226304],[0.28674406],9,,,,,,,,,,
3841,3429183,[23.75031617],[23.6428447],[-0.04781488],[-0.80270735],7,,,,,,,,,,
3841,3423373,[28.21421571],[22.24687368],[-0.36180961],[-0.05740193],6,,,,,,,,,,
3841,3436111,[14.87530122],[14.86705206],[-0.0135727],[-0.04805835],4,,,,,,,,,,
3842,3451799,[8.58198848],[5.78605251],[0.46488761],[1.67761538],5,,,,,,,,,,
3842,3427057,[19.84987159],[16.352451],[0.33848779],[0.65514532],6,,,,,,,,,,
3843,3419914,[20.55104879],[16.64735158],[0.35169296],[0.32732665],6,,,,,,,,,,
3843,3375003,[25.17905674],[23.59078948],[0.20251899],[-1.5726869],6,,,,,,,,,,
3843,3452547,[22.02970101],[21.3785822],[0.1397798],[-0.02053614],6,,,,,,,,,,
3844,3392746,[23.88393006],[17.16531236],[-0.42073304],[0.72561324],6,,,,,,,,,,
3844,3381372,[26.72211439],[21.30926172],[0.36341581],[-1.23098687],4,,,,,,,,,,
3844,3453551,[23.38879367],[23.09880692],[0.09211954],[-0.28070095],8,,,,,,,,,,
3844,3396483,[22.81776253],[21.13500817],[-0.20905098],[0.14407336],4,,,,,,,,,,
3845,3454546,[4.17818445],[3.91550973],[0.20228188],[-0.2336488],7,,,,,,,,,,
3845,3446276,[18.49015316],[14.42291978],[-0.36938102],[-0.42595926],6,,,,,,,,,,
3846,3414343,[20.69038323],[19.89005677],[-0.14959937],[0.26660303],9,,,,,,,,,,
3846,3410468,[24.4721664],[23.66370914],[-0.13781286],[-0.21888244],9,,,,,,,,,,
3847,3434187,[17.26727197],[8.7986141],[-0.56869839],[0.63263828],6,,,,,,,,,,
3847,3456548,[27.14450603],[18.84988883],[-0.43971541],[-0.10414925],5,,,,,,,,,,
3848,3457485,[25.45262986],[25.42301953],[-0.02183883],[-1.16266559],21,,,,,,,,,,
3848,3441789,[28.18457241],[26.25800458],[-0.20098296],[1.45142728],7,,,,,,,,,,
3848,3445670,[21.45773895],[20.9860824],[0.1211379],[1.50207018],4,,,,,,,,,,
3848,3457917,[4.60697154],[2.11972461],[-0.60026149],[-0.54768338],25,,,,,,,,,,
3849,3458169,[14.99524367],[14.18377458],[0.18780963],[0.21477678],6,,,,,,,,,,
3849,3305711,[9.4004116],[8.56927576],[0.23941825],[0.82220437],6,,,,,,,,,,
3849,3418557,[28.18496915],[19.94351887],[-0.42949355],[1.07999084],4,,,,,,,,,,
3850,3424404,[28.66466841],[21.20916498],[-0.4035637],[0.60980595],4,,,,,,,,,,
3851,3436820,[21.61933807],[18.52572006],[-0.29491209],[1.09565211],6,,,,,,,,,,
3851,3457813,[9.28922794],[6.26985488],[0.46431389],[-1.01035994],4,,,,,,,,,,
3852,3427126,[19.14189061],[11.05507661],[-0.52383028],[-0.26824475],7,,,,,,,,,,
3853,3461166,[26.74581142],[21.8635424],[-0.33490017],[-1.54858613],6,,,,,,,,,,
3853,3451102,[16.77191902],[6.02027391],[0.67116814],[-0.1590919],4,,,,,,,,,,
3854,3454789,[12.62322281],[12.20493659],[-0.13804425],[1.39667736],11,,,,,,,,,,
3856,3452039,[20.440721],[11.45381478],[-0.53539721],[-1.11591011],6,,,,,,,,,,
3856,3444434,[28.49380493],[25.0661463],[0.27916542],[-1.66042774],7,,,,,,,,,,
3858,3465010,[24.76569953],[14.09547511],[0.53920302],[0.11582474],5,,,,,,,,,,
3859,3421905,[17.6016047],[7.89518333],[-0.60718464],[-1.56247347],6,,,,,,,,,,
3859,3460035,[27.40792194],[27.39659948],[0.02077483],[-1.31051473],11,,,,,,,,,,
3859,3452782,[15.83405757],[15.62390838],[-0.0854243],[-0.73206387],15,,,,,,,,,,
3860,3466406,[27.10800686],[26.71292438],[0.09948248],[0.317012],10,,,,,,,,,,
3860,3466404,[9.15251755],[7.53356164],[-0.32948562],[1.60614235],10,,,,,,,,,,
3861,3403477,[29.00464262],[27.08706921],[0.20726603],[1.7325571],6,,,,,,,,,,
3861,3461331,[17.60629321],[5.13279941],[0.71064185],[-1.38241408],4,,,,,,,,,,
3862,3462923,[10.50561737],[8.18019548],[0.38036917],[0.91212616],6,,,,,,,,,,
3862,3408340,[17.3737649],[17.32378936],[-0.03713254],[1.45286208],17,,,,,,,,,,
3862,3468030,[21.58807988],[19.16298599],[-0.26003093],[-1.15494904],6,,,,,,,,,,
3863,3467500,[11.47805267],[11.08637039],[0.14990192],[0.98913683],10,,,,,,,,,,
3863,3469039,[24.41314105],[22.9187449],[0.19954293],[-1.43781677],6,,,,,,,,,,
3863,3463022,[26.24423959],[26.21009578],[-0.02337468],[-0.55408134],10,,,,,,,,,,
3863,3462961,[28.81936585],[28.56555097],[0.07838051],[-0.5698176],10,,,,,,,,,,
3864,3469950,[20.76347021],[20.45910083],[-0.09003219],[1.16224244],8,,,,,,,,,,
3864,3469951,[14.18034043],[14.08074272],[-0.06078472],[-1.35941458],6,,,,,,,,,,
3864,3415357,[29.0144349],[28.82582004],[0.06801282],[0.96583399],4,,,,,,,,,,
3865,3462895,[19.49913118],[18.82710726],[0.15061375],[1.65329477],11,,,,,,,,,,
3866,3463817,[18.08474817],[18.07185664],[0.02576606],[-0.61682701],58,,,,,,,,,,
3866,3471676,[16.90023316],[14.74767915],[-0.27757865],[-1.42944732],6,,,,,,,,,,
3866,3471677,[16.00072579],[13.06282153],[0.34567357],[-0.98136978],6,,,,,,,,,,
3866,3450146,[21.96345335],[21.81895419],[-0.05866686],[-0.94690496],12,,,,,,,,,,
3867,3421877,[22.53243246],[21.61889703],[0.16302434],[-1.63120838],15,,,,,,,,,,
3867,3470178,[26.15725382],[23.74220455],[0.2445933],[0.65212475],18,,,,,,,,,,
3867,3418561,[29.10349476],[15.04529275],[0.57361438],[0.32200051],6,,,,,,,,,,
3867,3457725,[25.90032112],[16.08190069],[-0.4938061],[0.28122626],4,,,,,,,,,,
3868,3473691,[20.42413232],[20.28177519],[-0.06053001],[-1.65657916],77,,,,,,,,,,
3868,3420412,[24.46002779],[21.81006334],[0.26491015],[0.68954059],10,,,,,,,,,,
3869,3461438,[24.33148129],[18.84934446],[0.38379781],[-0.38091904],6,,,,,,,,,,
3869,3421934,[23.67293198],[15.80310092],[0.46976253],[1.32590418],5,,,,,,,,,,
3870,3470215,[19.91020747],[14.86739362],[0.40766675],[0.26487689],7,,,,,,,,,,
3870,3448045,[26.09162483],[21.60146253],[0.33445137],[1.33587174],10,,,,,,,,,,
3870,3475731,[26.2389748],[22.77555827],[-0.28276435],[-0.96133574],7,,,,,,,,,,
3871,3476637,[15.8856265],[15.88546264],[0.00737797],[0.13012809],34,,,,,,,,,,
3872,3471952,[27.62646257],[26.34560917],[-0.16434863],[0.61183636],6,,,,,,,,,,
3872,3467534,[12.82213495],[9.52795935],[0.41071176],[0.95094299],5,,,,,,,,,,
3873,3437523,[17.4358123],[16.13372689],[-0.21042168],[0.23057339],5,,,,,,,,,,
3873,3420473,[23.4087729],[23.01934253],[-0.09624504],[1.35106468],6,,,,,,,,,,
3873,3452068,[23.91705161],[16.80806377],[0.44299835],[-1.26655821],4,,,,,,,,,,
3873,3401663,[18.44700933],[12.95344564],[-0.43372604],[0.4696055],4,,,,,,,,,,
3874,3475960,[21.93161888],[21.75480366],[0.07519996],[0.99082679],10,,,,,,,,,,
3875,3479320,[18.85435856],[13.70341081],[0.42397969],[1.44603347],6,,,,,,,,,,
3875,3441892,[18.43289618],[10.6660113],[0.53280966],[-0.13762281],6,,,,,,,,,,
3875,3479996,[15.42213908],[13.35225956],[0.29497594],[-1.28048458],4,,,,,,,,,,
3876,3455567,[24.01803186],[24.01781122],[0.00723642],[0.67194892],54,,,,,,,,,,
3877,3367633,[23.70293088],[19.96668481],[-0.31016762],[-0.39166042],6,,,,,,,,,,
3878,3481239,[21.96250558],[21.7791611],[0.07643817],[1.64729751],11,,,,,,,,,,
3878,3482716,[19.01764195],[18.25945933],[-0.15196733],[1.11277869],6,,,,,,,,,,
3879,3483788,[22.88265246],[10.42173754],[-0.60288487],[-0.13100481],7,,,,,,,,,,
3879,3412399,[23.69424322],[23.62701886],[-0.03684272],[1.51325974],35,,,,,,,,,,
3881,3466566,[25.87693067],[25.58177931],[0.08854625],[0.52485779],7,,,,,,,,,,
3881,3486190,[8.39373929],[8.39370444],[0.00326833],[-0.58946954],17,,,,,,,,,,
3881,3296079,[19.10560987],[8.86519293],[0.60728617],[-0.76439872],24,,,,,,,,,,
3882,3469335,[23.67357251],[15.63744599],[-0.46522901],[1.68907971],5,,,,,,,,,,
3882,3464657,[16.06675665],[10.7255255],[0.46978646],[1.50073251],6,,,,,,,,,,
3882,3468199,[27.93806251],[16.82319978],[-0.50692401],[-1.51256523],4,,,,,,,,,,
3882,3484942,[23.30225529],[19.83025951],[-0.30118975],[-1.36013515],6,,,,,,,,,,
3882,3476836,[14.20768656],[7.45280004],[0.56873888],[-0.75574685],5,,,,,,,,,,
3882,3470914,[28.15616028],[26.73412969],[0.18153452],[-0.64551133],10,,,,,,,,,,
3883,3468283,[26.26217305],[25.68098539],[0.12153168],[0.46530541],7,,,,,,,,,,
3883,3469298,[23.35085398],[23.22270572],[0.0628818],[1.69399822],9,,,,,,,,,,
3884,3465989,[29.0726421],[20.28443232],[-0.43717762],[-0.85029628],4,,,,,,,,,,
3884,3399144,[24.53912591],[23.39911895],[-0.16452227],[-1.11317182],8,,,,,,,,,,
3884,3483929,[18.6761462],[15.7547827],[-0.30893575],[0.51414773],4,,,,,,,,,,
3885,3455633,[20.65122621],[19.75187957],[-0.15909898],[-1.32439529],9,,,,,,,,,,
3885,3455592,[27.35726449],[19.57925396],[-0.42311779],[-0.86861268],4,,,,,,,,,,
3886,3490979,[13.40357918],[10.5518101],[-0.36297896],[0.80014759],6,,,,,,,,,,
3887,3492087,[12.51310946],[12.50280551],[0.02733087],[1.49625994],19,,,,,,,,,,
3887,3463880,[21.76647192],[21.76326647],[0.01436362],[-1.51574511],5,,,,,,,,,,
3888,3477273,[25.21044013],[8.40082639],[-0.67658058],[1.02382865],4,,,,,,,,,,
3889,3437031,[20.72962139],[20.23064134],[-0.11683503],[-1.6178221],7,,,,,,,,,,
3890,3436870,[13.38175065],[13.33151265],[-0.04311941],[-0.94260933],14,,,,,,,,,,
3891,3492279,[20.18570279],[14.54192755],[0.42910567],[1.53366515],6,,,,,,,,,,
3891,3464591,[28.97225594],[28.61260162],[-0.08244393],[1.35950793],9,,,,,,,,,,
3892,3497264,[17.75854778],[16.80976863],[0.18662687],[0.09834596],6,,,,,,,,,,
3893,3460027,[17.66312464],[17.65299625],[-0.01388323],[0.62704997],50,,,,,,,,,,
3893,3468189,[12.28104331],[9.58570901],[0.37869499],[1.5313538],6,,,,,,,,,,
3893,3471838,[16.91277041],[16.07802983],[-0.16977802],[1.62443958],10,,,,,,,,,,
3893,3485490,[27.12168945],[26.60336555],[0.11325382],[-1.72619448],9,,,,,,,,,,
3893,3480111,[24.18310205],[15.08971032],[-0.4916438],[-1.38464148],5,,,,,,,,,,
3893,3450090,[12.49928126],[12.18118459],[0.13002254],[1.13043717],11,,,,,,,,,,
3893,3492350,[16.07009522],[14.05060097],[0.28537482],[-0.40055242],6,,,,,,,,,,
3894,3470175,[28.53749225],[26.00026147],[0.24004097],[-1.18752126],8,,,,,,,,,,
3894,3463877,[19.19881895],[17.62962051],[-0.2204953],[-0.37759915],7,,,,,,,,,,
3894,3481181,[14.40476772],[10.45519932],[0.42479306],[-0.35164267],6,,,,,,,,,,
3894,3493450,[25.33120571],[25.10209255],[-0.06964047],[0.52294465],4,,,,,,,,,,
3895,3485458,[28.60078208],[27.57764105],[-0.1436386],[0.36688113],8,,,,,,,,,,
3895,3500460,[25.98338027],[25.9347708],[0.0387275],[1.15205704],16,,,,,,,,,,
3895,3488627,[14.3124892],[13.13975204],[-0.2207901],[1.66609773],8,,,,,,,,,,
3895,3493426,[19.6072512],[18.93797967],[0.14990925],[-0.37170199],10,,,,,,,,,,
3895,3500654,[19.54729884],[14.47537737],[0.41279385],[-0.21764501],7,,,,,,,,,,
3895,3491292,[29.14154904],[28.61394484],[-0.1006249],[-0.26773431],8,,,,,,,,,,
3896,3500720,[25.73336636],[25.72372065],[0.02001984],[-0.60225617],67,,,,,,,,,,
3896,3482893,[18.12543312],[16.06801321],[-0.26144606],[0.43231118],4,,,,,,,,,,
3897,3502331,[8.36720802],[8.32012734],[0.06362288],[-0.63401874],12,,,,,,,,,,
3897,3418542,[28.19465511],[25.86770697],[-0.22159821],[-1.50761266],6,,,,,,,,,,
3897,3502330,[24.96777727],[23.34722291],[-0.19566482],[-1.56781508],6,,,,,,,,,,
3897,3491180,[21.06771657],[20.79198306],[-0.0847914],[-0.65158265],11,,,,,,,,,,
3897,3499342,[22.00425105],[17.50682766],[0.36509673],[-0.0945752],6,,,,,,,,,,
3897,3502777,[4.66762731],[4.01152383],[0.30203569],[-1.50562357],34,,,,,,,,,,
3898,3491157,[22.6544743],[16.33998397],[-0.41868364],[0.5562845],6,,,,,,,,,,
3898,3503301,[21.06731125],[16.85393972],[0.36106506],[-0.96048807],5,,,,,,,,,,
3899,3504411,[22.97989526],[22.64572215],[0.0993785],[-0.92642275],25,,,,,,,,,,
3901,3506126,[23.01096696],[8.84126195],[-0.64634281],[-0.81149335],4,,,,,,,,,,
3901,3487719,[26.20333884],[17.83388309],[0.45998834],[-0.74089196],5,,,,,,,,,,
3901,3410389,[28.84577541],[28.73282293],[0.05386411],[-0.98064054],16,,,,,,,,,,
3901,3482961,[28.97342347],[25.65293632],[0.27246613],[-1.30793549],4,,,,,,,,,,
3903,3475991,[13.48265999],[9.80329708],[0.42375988],[-0.19274491],6,,,,,,,,,,
3904,3509108,[15.31299808],[11.87642815],[-0.37331489],[-0.46020896],6,,,,,,,,,,
3904,3438408,[25.51768619],[23.30656939],[0.23699218],[-0.32684068],6,,,,,,,,,,
3904,3484930,[26.0691895],[24.52681634],[0.19622361],[-0.16932907],14,,,,,,,,,,
3905,3508350,[24.22958531],[8.50394738],[-0.6661294],[0.0950637],8,,,,,,,,,,
3905,3465202,[25.18657209],[15.72223449],[0.50118965],[-0.43827636],5,,,,,,,,,,
3906,3509464,[27.19280557],[26.66093949],[0.11452107],[-0.15322067],4,,,,,,,,,,
3907,3504664,[22.08161695],[6.34884311],[-0.70321342],[0.78981913],4,,,,,,,,,,
3907,3409379,[21.18833806],[19.50565229],[0.22695663],[0.95843978],6,,,,,,,,,,
3907,3512035,[22.48201917],[19.82397973],[-0.26703042],[-1.62052031],10,,,,,,,,,,
3908,3446301,[18.72250666],[15.9703573],[0.30880907],[-0.54424348],6,,,,,,,,,,
3908,3508315,[15.59164692],[14.42946156],[0.21994855],[-0.16935142],8,,,,,,,,,,
3909,3497494,[21.34624906],[21.24613411],[0.05849552],[0.10507903],9,,,,,,,,,,
3909,3503538,[25.32582497],[24.04894138],[0.1813829],[0.31809659],6,,,,,,,,,,
3910,3514305,[12.77107628],[10.93380505],[-0.29575869],[0.58076219],6,,,,,,,,,,
3910,3470206,[26.84178706],[19.98118886],[-0.39984972],[0.03789961],6,,,,,,,,,,
3910,3399333,[15.65890791],[12.29670826],[0.37444622],[-0.19427708],6,,,,,,,,,,
3911,3515080,[14.86764674],[14.72610838],[0.08130827],[-0.199133],13,,,,,,,,,,
3911,3501770,[14.86159164],[14.36647512],[-0.13842755],[0.03824842],8,,,,,,,,,,
3911,3497403,[25.72761119],[25.60030427],[-0.05022473],[0.36416628],12,,,,,,,,,,
3911,3515078,[22.19516784],[15.07687702],[-0.45125739],[-1.31044971],6,,,,,,,,,,
3911,3502520,[22.9493793],[22.36343755],[0.13021551],[-1.68897453],4,,,,,,,,,,
3911,3361858,[19.21312086],[16.4444177],[-0.29599912],[-0.34134814],6,,,,,,,,,,
3912,3509322,[15.12456883],[14.85514266],[0.10950655],[0.39346324],22,,,,,,,,,,
3912,3420439,[27.18265395],[24.09202071],[-0.26165945],[-0.32328605],6,,,,,,,,,,
3913,3510319,[22.10229743],[22.04065782],[-0.03648613],[1.59181944],15,,,,,,,,,,
3913,3516748,[19.43658632],[19.16944555],[0.09674509],[-0.41579054],14,,,,,,,,,,
3913,3508338,[12.79925796],[9.49962347],[0.41144407],[1.46001233],6,,,,,,,,,,
3913,3494296,[12.47873578],[9.26823169],[0.41101567],[1.48652582],6,,,,,,,,,,
3916,3518964,[28.59741971],[28.55846894],[0.0337569],[1.7304932],14,,,,,,,,,,
3916,3514588,[10.48370536],[8.08047771],[-0.37754509],[1.07022054],5,,,,,,,,,,
3918,3521003,[12.98559186],[11.23190778],[0.29590562],[-0.89731029],5,,,,,,,,,,
3919,3521602,[23.04459451],[11.85870206],[0.57515317],[0.97045843],6,,,,,,,,,,
3919,3504639,[16.55190409],[14.82355643],[0.26008935],[-1.21127107],4,,,,,,,,,,
3920,3522512,[17.81584733],[9.23576362],[0.57271361],[0.96156332],6,,,,,,,,,,
3921,3523168,[22.71939603],[10.05903685],[0.62047611],[0.86643903],5,,,,,,,,,,
3922,3510348,[23.11714287],[23.0973193],[-0.01806154],[-0.55167725],45,,,,,,,,,,
3922,3520782,[22.34659076],[22.23712139],[-0.04994875],[1.74354944],15,,,,,,,,,,
3922,3496620,[21.70919186],[19.29180465],[-0.25884826],[1.28918691],6,,,,,,,,,,
3922,3460739,[21.47499867],[19.2771398],[0.25748682],[-0.74300273],6,,,,,,,,,,
3924,3525798,[27.57022799],[26.94309393],[0.12315136],[-0.05691073],10,,,,,,,,,,
3924,3525797,[28.79569918],[28.39500775],[-0.08758414],[1.7036724],10,,,,,,,,,,
3925,3524169,[23.66151416],[18.8615508],[-0.35396665],[1.47197148],6,,,,,,,,,,
3925,3483989,[19.32511809],[9.09332452],[0.60319379],[1.67252714],6,,,,,,,,,,
3925,3499320,[22.70638426],[20.93502407],[0.22495628],[-0.66478638],6,,,,,,,,,,
3925,3526988,[11.6296611],[10.73853825],[-0.21326071],[-0.95604434],8,,,,,,,,,,
3926,3493397,[17.57152389],[17.57005707],[-0.00228879],[-0.19500129],94,,,,,,,,,,
3926,3488751,[27.4516524],[26.7005747],[0.13464326],[0.51326319],23,,,,,,,,,,
3926,3527677,[18.30355177],[16.64183568],[-0.2328341],[0.2100116],7,,,,,,,,,,
3926,3518308,[26.21188491],[21.22993845],[0.35179061],[-0.24300218],6,,,,,,,,,,
3926,3501744,[26.13136312],[26.01134083],[-0.04820892],[-0.242925],10,,,,,,,,,,
3926,3426134,[22.00599906],[21.93981223],[0.04780614],[-1.31045142],4,,,,,,,,,,
3927,3528422,[20.68869147],[17.94941408],[0.29295527],[-0.57078836],7,,,,,,,,,,
3928,3463863,[24.09273335],[20.23197555],[-0.3128458],[-1.00516122],6,,,,,,,,,,
3928,3475984,[18.47950636],[14.54326995],[0.37290615],[0.79783372],5,,,,,,,,,,
3929,3519911,[23.58917828],[20.31938569],[-0.29006214],[-0.23922811],8,,,,,,,,,,
3930,3513722,[13.01099937],[11.10377965],[0.30838992],[0.49672833],4,,,,,,,,,,
3930,3505684,[24.81574395],[21.3535921],[0.30076763],[-1.71129612],7,,,,,,,,,,
3930,3500625,[19.66022768],[17.52881352],[-0.25527946],[-1.43014023],7,,,,,,,,,,
3930,3526774,[22.78173255],[10.46577636],[-0.60042593],[0.4998699],4,,,,,,,,,,
3931,3531891,[17.45927828],[17.45843827],[0.0102938],[0.57022231],38,,,,,,,,,,
3931,3522733,[17.2029784],[16.5484757],[-0.14832133],[-0.2944838],6,,,,,,,,,,
3932,3501754,[16.92395076],[9.89524836],[-0.51897224],[-1.28162585],5,,,,,,,,,,
3932,3513005,[23.56371412],[17.09616402],[-0.41526666],[-0.34749072],20,,,,,,,,,,
3933,3523366,[24.4533676],[23.4461164],[0.1642898],[-0.14520377],6,,,,,,,,,,
3933,3533378,[21.12790173],[17.58427044],[-0.32039393],[0.52448665],5,,,,,,,,,,
3933,3461367,[3.19329791],[3.15025371],[-0.08618469],[0.67857991],20,,,,,,,,,,
3934,3469274,[28.14067701],[27.54918365],[-0.10882648],[0.75011708],7,,,,,,,,,,
3935,3487795,[16.45399861],[7.92140158],[0.59635791],[0.31026492],7,,,,,,,,,,
3935,3436177,[16.87921498],[10.30927932],[-0.50096291],[0.68025774],6,,,,,,,,,,
3935,3504674,[14.08983876],[13.93724972],[-0.07667999],[-0.13010318],6,,,,,,,,,,
3936,3535350,[25.14295444],[25.08936559],[-0.03128243],[1.13511648],37,,,,,,,,,,
3936,3531340,[24.48441316],[18.26846869],[-0.39842516],[-0.46651654],6,,,,,,,,,,
