tid,traj_p,traj_pt,traj_lambda,traj_phi,num_hits_x,hit_IDs,num_hits_y
122578.0,[27.24823162],[27.22312883],[-0.01889799],[-0.3926237],18,"[240064448, 166698146, 206187063, 84073702, 12769478, 6473033, 206316574, 12831113, 239839146, 84135596, 139108174, 237896458, 166473877, 139385654, 75678359, 166628829, 139238718]",17
122724.0,[16.08447822],[14.35137805],[0.26420306],[1.07237794],6,"[208865760, 71659350, 4560371, 139669950]",4
123414.0,[12.71471174],[12.51967193],[-0.09222358],[0.70330461],6,"[137262776, 222953194, 71467620]",3
127343.0,[16.69665401],[16.57962671],[-0.06071458],[0.13002615],33,"[67356672, 671700226, 212593166, 145512079, 67186834, 215024305, 145682103, 75960, 145856059, 671670989, 177084373, 179474519, 179092696, 8529376, 77738980, 259424747, 673798124, 254562798, 69550831, 69454578, 211345272]",21
127948.0,[19.42179426],[19.42103948],[0.00974392],[0.48718098],41,"[8573060, 8564615, 220909704, 2222088, 2287882, 2214667, 71428752, 71484048, 71494037, 221068437, 71420565, 77713967, 258880818, 151732154, 77779515, 183339837, 258817345, 77769796, 258875717, 183416136, 151894988, 183352666, 4377820, 258869598, 183413598, 4374511, 183406447, 4319476, 8509045, 4385270, 4312056, 71486590]",32
129143.0,[11.09558694],[8.82184226],[-0.355898],[-0.69160813],7,"[12871426, 180995110, 254397993, 242106670, 14966514, 168778901, 84186423]",7
129998.0,[8.4196891],[7.92549091],[0.19549359],[0.86943959],9,"[82179576, 73731707, 150002500, 4532303]",4
131780.0,[9.76184595],[9.6549097],[-0.0771556],[0.07538349],47,"[4608514, 69603590, 71648267, 2499858, 2527381, 141377181, 71457568, 71457825, 71458082, 71458083, 73658657, 206882, 71554338, 71725225, 71455276, 73746937, 73811249, 71539761, 252556853, 2497468, 71436355, 67289028, 71436611, 71437381, 71437637, 2497861, 4617287, 69636429, 71542608, 71542864, 6540497, 69405140, 4604756, 208459744, 73725668, 73814118, 177101160, 177389, 71521904, 71701237, 71455354, 73828727, 71690358, 73551609, 71453050, 6706421, 69602428]",47
133011.0,[11.70116493],[11.56984549],[0.08787969],[-0.52135694],10,"[67460391, 229812784, 160631221, 332574, 84336095]",5
137640.0,[26.89171678],[26.80187452],[0.0501228],[0.13799213],19,"[84680, 67192004, 244183340, 170812677]",4
139352.0,[13.88977661],[13.33042767],[-0.15277131],[1.23036495],6,"[160102786, 143532419, 231381444, 6479783, 212696942, 75690710]",6
139477.0,[27.60538528],[27.56681544],[0.03412749],[-1.13533744],24,"[69536523, 713564427, 786932757, 179548316, 703070241, 8680997, 252830254, 173571379, 79983802, 8844860, 156310467, 2426948, 227582663, 156410312, 80147401, 227681739, 778536662, 252914775, 227824472, 244872292, 156546156, 244884464, 715661814, 179463543]",24
141771.0,[15.47895928],[15.46598569],[0.02752958],[0.78125803],37,"[223471876, 10892677, 137599120, 747069712, 225770385, 204657945, 10823585, 137581997, 80099376, 156446385, 10894132, 4534711, 71643959, 211191736, 137514431, 82197952, 204592193, 154350402, 80029000, 71706191, 154297423, 4597714, 156601556, 4528091, 71636059, 206777060, 71700581, 757714918, 225618918, 137526760, 225618538, 4593133, 225569266, 204603255, 142006904, 221835391]",36
142710.0,[21.94337921],[21.87579962],[0.04831775],[0.77627229],8,"[137799665, 134966979, 80027868, 217036281]",4
145630.0,[24.47831136],[24.46279175],[-0.01484822],[1.50982095],24,"[212776707, 214673801, 486034825, 237945609, 166549645, 506813838, 86132634, 143602975, 145509036, 75650740, 237822265, 425014585, 418783933, 416867015, 145694410, 435539158, 166674523, 75646441, 14829677, 240043000]",20
