tid,traj_p,traj_pt,traj_lambda,traj_phi,num_hits_x,hit_IDs,num_hits_y
5125746.0,[27.57250433],[23.99880735],[-0.28009399],[0.58442498],6,"[422334384, 69322090, 256618804]",3
5125784.0,[28.57189917],[28.52583732],[-0.02657105],[1.20191512],10,"[208371589, 139204165, 73554151, 4346800, 139397495]",5
5126856.0,[19.15331182],[18.41328892],[0.15923932],[-0.83874639],7,"[10635570, 81933462, 233810303, 160429831]",4
5128959.0,[22.11183274],[18.65387708],[-0.30889075],[-0.8500734],7,"[527434993, 81897236, 162305100]",3
5129026.0,[20.34974781],[17.04661822],[0.32468577],[-1.03775896],7,"[158616643, 80121355, 232015847]",3
5130226.0,[14.81982803],[13.3090801],[-0.24726444],[-1.3580952],10,"[229517544, 79913233, 437804388, 158272702]",4
5132053.0,[19.99296002],[19.91083087],[-0.04532726],[1.56103991],41,"[235731727, 166639636, 149792665, 77992346, 86100636, 165043357, 147731869, 6681247, 75889056, 236304294, 221057959, 149881383, 240010925, 216903214, 8791982, 237814958, 15124400, 145839414, 75620665, 218932025, 14807611, 164755518, 221489478, 77663687, 221165898, 236012112, 14873940, 6414933, 166542037, 75570010, 217106651, 86434012, 8462558, 6362463, 166560480, 166547169, 237812194, 86111340, 149759216, 14792820, 86175606]",41
5132355.0,[12.77697122],[12.39300012],[-0.13119491],[1.53664258],21,"[217206113, 8582502, 162046186, 148042667, 77664140]",5
5132375.0,[12.33870964],[11.09520827],[0.25553595],[-1.0114714],9,"[13038760, 236165025, 162775646, 82232359]",4
5133910.0,[13.518069],[12.10018091],[0.26068024],[0.36467815],6,"[684271236, 69658023, 329484, 181671212, 259267263]",5
5134562.0,[19.14057891],[19.07917163],[-0.03948874],[-0.52873837],5,"[166609224, 239971433, 83952681]",3
5134763.0,[17.85531944],[17.18859634],[-0.14688438],[0.84077467],8,"[4454468, 73534378, 420779801, 206450362, 137289789, 475562429]",6
5137913.0,[11.76972442],[11.64475795],[-0.07587884],[0.75291607],20,"[238164049, 177559459, 69418873, 164599649]",4
5140677.0,[14.93089849],[14.80429632],[0.07700271],[1.55995119],19,"[73711104, 148030856, 217085832, 86323725, 4507926, 150221462, 167161371, 145812510, 240345248, 238132012, 221498541, 338354, 75953586, 238415154, 169079484, 166865213, 6749380, 219304662, 75808759]",19
5140917.0,[16.56040295],[14.95892162],[-0.24058912],[-1.55793278],6,"[77701954, 439831203, 151842127, 8484975, 511122461, 223092350]",6
5142439.0,[11.84577818],[11.83893963],[-0.0139478],[0.04041386],31,"[424997, 177351752, 250875657, 69630445, 139815631, 184031312, 75929009, 177656305, 177417010, 252884308, 69475318, 210912728, 257370777, 143757276]",14
5145889.0,[24.06619602],[24.01478681],[0.0410507],[-0.49740598],36,"[69347494, 2234761, 166758767, 181167479, 240050013, 86127198]",6
5146663.0,[27.61477772],[24.10355988],[-0.27731496],[-1.07212953],8,"[158164256, 81982402, 440939366, 10667848, 438891433, 522986857, 449595354, 231507933]",8
5149066.0,[22.08105674],[21.08503405],[-0.16202736],[1.38134779],9,"[75873954, 159992434, 143728724, 6661500, 212889692]",5
5149762.0,[19.5346206],[19.5032102],[0.03625875],[-1.28452266],43,"[8782596, 219167493, 150176261, 8455942, 181425803, 183953419, 8743437, 219349775, 139186837, 219430293, 149992729, 221364122, 139186076, 2461090, 259204522, 152187823, 8712751, 181523762, 257104948, 221459382, 152285886, 80085951, 79758532, 80046021, 2297797, 259211078, 69571401, 181642573, 221126865, 183739351, 80014829, 10879985, 221264883, 10553587, 69407349, 150251128, 135719161]",37
5152360.0,[10.12997638],[8.35460703],[-0.32788689],[-1.18239904],7,"[81983168, 243839594, 172516197, 437813807]",4
5152423.0,[16.82381155],[13.77565954],[-0.33360734],[-0.99779058],7,"[231653710, 446156654, 82098566]",3
5153520.0,[27.77098442],[25.97798135],[-0.19512809],[-0.41168014],7,"[166778881, 240129316, 86366959, 168876784, 15055036]",5
5156268.0,[8.8596079],[8.79531005],[0.07160394],[1.72355083],9,"[75828112, 177440610, 139636276, 252898069]",4
5156438.0,[14.84105153],[14.7708402],[-0.0490039],[1.36222327],19,"[164565924, 235676517, 145478246, 164261832, 145650568, 6585257, 6475948, 214971724, 214820141, 216743404, 235537644, 145803155, 75684283, 75793592, 164400730, 84056603]",16
5156515.0,[20.58635644],[20.23698534],[-0.09726205],[1.62768426],14,"[162907457, 225253737, 238121051, 217135757, 158661550, 75841871, 6632016, 166471216, 147971027, 166871189, 84293176, 12976443, 239847356, 153958525]",14
5159322.0,[22.26070095],[22.05884733],[0.07946381],[-0.9278898],26,"[160843520, 162606210, 445925779, 177302298, 234209691, 250374686, 233883183, 84189361, 69498808, 82114626, 252773572, 179653572, 160442948, 255135559, 181773781, 177000791, 234111704, 162199392, 162940910]",19
5159332.0,[28.89618583],[28.86763235],[-0.01974536],[1.4660817],38,"[86054020, 86179213, 73538578, 166639379, 240006297, 212725018, 143552040, 166620206, 239988409, 14773818, 166628159, 75569089, 6470851, 6358212, 6391240, 214783179, 239996366, 75676881, 75598292, 75564758, 214843094, 168531160, 212783705, 214821594, 14876256, 86076002, 143610723, 145612516, 168699875, 145671149, 145648110, 6428909, 86164338, 239803508, 239970686]",35
5161631.0,[17.45301326],[13.72887563],[0.3732457],[0.9768568],9,"[141707512, 4521739, 208814653, 73715799]",4
5162465.0,[15.19266962],[5.84888834],[0.65565379],[1.44397322],5,"[759662480, 6582835, 150482979, 75874614]",4
5163842.0,[27.65645313],[27.53825651],[0.05605684],[0.03311626],35,"[135196552, 141852171, 208449292, 208110734, 141150742, 175421211, 210761634, 183043234, 250564773, 141370023, 73619625, 135276462, 183492148, 250881213, 183342401, 141582672, 254219217, 211021648, 135142482, 69448151, 175113051, 210320480, 177201128, 135022953, 183199597, 135181551, 69432692, 143949560]",28
5166360.0,[19.8573393],[19.78058997],[0.0535475],[0.65542505],35,"[204117633, 223766145, 204048015, 154594195, 183683732, 201965221, 154522538, 69660207, 134860465, 137235513, 202785470, 183460165, 137812550, 183215943, 137124424, 137024591, 139840593, 202277842, 139471583, 202047202, 259152995, 223690597, 134882278, 136962152, 204215406, 139480818, 136990334]",27
5166943.0,[28.13758283],[28.04060726],[0.05083266],[-1.18938409],24,"[221723232, 75909186, 221329604, 181704133, 152175338, 208447531, 223604427, 181667052, 79953518, 255030800, 152349553, 78013426, 141349843, 152565397, 181823159, 152333081, 139738654, 221523775]",18
5169883.0,[26.25083765],[20.59817183],[-0.3652468],[-0.59820051],7,"[164614922, 470592972, 12972334, 84157039, 403486384, 166712824, 237954905]",7
5169889.0,[7.77843481],[7.58587137],[0.12831382],[-0.34788805],12,"[4464608, 67434282, 135505231, 250755859, 15040372, 175276407, 259193374, 86339423]",8
5170255.0,[8.87512259],[8.24165636],[0.21530302],[-1.00592118],7,"[82027266, 164678275, 175394885, 84125427, 248727994]",5
5170906.0,[18.66749158],[18.62527462],[0.04209889],[1.40260493],11,"[73752098, 135817509, 206804015, 171145391, 139608658, 6645204, 244654617]",7
5171110.0,[25.00558526],[25.00226599],[-0.00415537],[0.67615797],59,"[10792576, 223006470, 223714571, 10618770, 183483666, 259189016, 71552680, 154186795, 2347308, 225455532, 80000047, 183571766, 71406014, 154324799, 2200385, 80118597, 154002248, 71718345, 71600075, 79798605, 225273038, 225597135, 225599696, 153825873, 135411283, 79948373, 71491807, 154545247, 183409511, 225812217]",30
5171890.0,[19.55946147],[19.51641851],[0.0415937],[0.89678124],27,"[206896640, 156402571, 73821068, 139836556, 151527308, 137582614, 206761367, 4426010, 483658781, 156680607, 412620414, 75668907, 4617516, 152050993, 220716595, 208487865, 223335882, 139330125, 80133970, 483754457, 416429658, 139466462, 227669218, 206545774, 73631353, 77741950]",26
5172843.0,[17.92644012],[16.90568114],[0.19256658],[0.081742],5,"[248600934, 14998556, 175216093, 67420150]",4
5173676.0,[10.92842914],[10.45231462],[-0.15914908],[1.11725025],6,"[143567719, 158013098, 75638705, 6425719, 212726590]",5
5174506.0,[26.94465078],[26.93968911],[-0.00575903],[-0.72434913],202,"[164849154, 165053442, 15110660, 250537989, 84211204, 12827656, 12907039, 83967011, 179239465, 177188396, 238512176, 162343990, 778524214, 84144193, 235994690, 778585667, 238159431, 236059722, 177230923, 2323022, 14885455, 175089742, 146515, 238069331, 164426325, 177172568, 256644701, 177243742, 179062369, 67370082, 247394, 14939240, 164517482, 183511659, 235874415, 256393328, 84274290, 175017079, 164667512, 238221943, 235863168, 67435140, 175016068, 183326345, 84120213, 86440086, 254699166, 67183263, 67407010, 235880098, 164651685, 259239, 164724914, 238331063, 237799608, 69450427, 166885074, 237959379, 67241173, 776643797, 254522583, 205531, 260829, 175245029, 254751975, 86308584, 177110762, 14925039, 166946543, 252635380, 84175620, 162494728, 774350603, 164529936, 235843856, 12828434, 235494165, 84023576, 235982106, 181179676, 12970270, 84025633, 164566818, 67366182, 235923239, 162513192, 164958509, 174998836, 778694457, 244541, 84325182, 12816190, 164506446, 244896591, 67421521, 67314514, 164554074, 250724187, 179288937, 235878250, 84131691, 235881837, 252649325, 177265521, 174986610, 238426484, 84131195, 164800892, 237897083, 250776959, 237936514, 14821767, 164501388, 67537805, 258978189, 164218769, 175038876, 177358749, 164707742, 164576172, 175090093, 316335, 237921713, 258792883, 237876661, 69355448, 177409979, 71527867, 235710912, 235630020, 67439557, 179282886, 252654028, 237884881, 175149012, 164794329, 164614619, 237868507, 69454301, 238036445, 776516065, 164607972, 86273509, 238169062, 164602858, 167150574, 164592118]",147
5179255.0,[12.53274809],[12.51523668],[0.03413129],[1.00433836],28,"[2329994, 2307979, 206528786, 137355797, 206664219, 82006310, 82173226, 2476211, 225509300, 225421622, 156339895, 137487931, 71536578, 213174982, 156424140, 71512013, 141873101, 137395028, 156248150, 206572124, 225589222, 12990061, 71679982, 12800623]",24
5184786.0,[25.50785137],[25.38290431],[-0.04994617],[-1.62806646],9,"[168466434, 221234404, 506752485, 435441382, 77915211, 170563566, 149970006, 8706396, 241838911]",9
5187846.0,[21.00240022],[13.93803449],[0.47267645],[-0.35525372],16,"[170633814, 86120772, 254631686, 170929447]",4
5187937.0,[15.52392966],[15.51735243],[-0.01125081],[1.74126894],32,"[162864386, 15122950, 75888650, 15071243, 234134423, 86374179, 6682659, 86427683, 240327334, 240194088, 150271149, 75923247, 75878199, 219223872, 236218816, 219228485, 6719816, 150049490, 6670937, 219329113, 150055644, 169058534, 164961769, 150154474, 442866, 164951411, 221542516, 168924023, 391417]",29
5188601.0,[25.19746691],[25.18218421],[-0.01441592],[0.96086089],35,"[137258246, 4270984, 4390027, 81866129, 10562842, 229496493, 206428357, 137254473, 12885449, 158204748, 82092879, 73690578, 139540436, 206437590, 137262934, 73482980, 73476836, 12675300, 73596904, 206434669, 81881965, 158225268, 139355637]",23
5190175.0,[27.46714627],[27.38602792],[0.04741499],[-1.01570911],41,"[69638912, 156433664, 242720896, 252864005, 181485958, 229912199, 156467727, 229709968, 179742096, 160989333, 158282390, 2365981, 169352481, 169400105, 10643630, 244877231, 71572912, 158437809, 252960818, 158639028, 10748597, 158802745, 79848508, 2529857, 230078273, 253106510, 229802191, 179496528, 181631189, 10915553, 242772065, 232258147, 254997098, 232322155, 71736300, 229555309, 158531055, 254961395, 179594620, 80121470]",40
5190882.0,[19.10988917],[19.04096821],[-0.04216319],[-1.51169645],49,"[153895043, 172771715, 153910176, 86299939, 246175399, 172815783, 170945197, 156609710, 169152559, 14993715, 246140340, 79989310, 238176323, 86176840, 244051914, 153925454, 77786452, 246181337, 79875418, 15066589, 86361565, 166466399, 170814689, 242080356, 237772904, 166887529, 170684273, 172804980]",28
5190917.0,[22.26221263],[22.2573512],[0.01643198],[-1.4227767],38,"[246333701, 77819915, 246781454, 152001295, 225871001, 173309723, 223327516, 225735070, 223468319, 67255341, 223205933, 246674478, 67341107, 77737271, 8737080, 223272517, 175105740, 231502, 154151125, 154291162, 248472030, 175064288, 154031072, 67463011, 175512550, 80039915, 79772912, 248431092, 154581109, 8531574, 154462586, 353148]",32
5191563.0,[17.31877661],[17.26206833],[0.04967203],[-0.25645308],61,"[206570240, 246401154, 246436867, 86188548, 71404295, 206546442, 15019535, 86320913, 206542873, 173182619, 170859804, 139588124, 4397342, 246376739, 73755176, 173029032, 4511284, 4422966, 14840892, 139486013, 173371965, 139496513, 139471169, 173034177, 67341251, 73617729, 206840385, 86142792, 246554952, 313291, 139466316, 73603663, 208758994, 73788114, 246327250, 67421653, 4467287, 217309, 173067871, 73718114, 73628002, 69448676, 6644965, 67325671, 205032, 246397547, 208659436, 208667631, 73503728, 173010033, 67314420, 248534004, 208643832]",53
5193453.0,[23.97372616],[23.85880847],[-0.04935601],[-0.58018906],10,"[164696257, 82065191, 201985867, 164397772, 12857043, 235664667, 134906910, 137191135]",8
5196689.0,[28.52303868],[28.44576506],[-0.03588995],[1.59514326],30,"[168538497, 86377988, 223630219, 239812365, 240004111, 169012370, 152356250, 154564509, 223574175, 234094880, 152301730, 232046370, 162879399, 154557996, 8641197, 148403, 168741428, 6442943, 75650756, 225205956, 67261126, 225439950, 164922841, 154022106, 153926625, 154158573, 67503346, 240269428, 77842042]",29
5196758.0,[27.33440442],[25.11534838],[0.22944082],[-1.20437535],6,"[79849096, 787173685, 713823605, 10651099]",4
5198609.0,[14.52303148],[13.82189906],[-0.16784794],[-0.53375049],6,"[166819631, 84235120, 202040274, 240169493, 134946679, 12926015]",6
5198623.0,[21.8318046],[21.81059643],[-0.01953708],[1.24034746],75,"[143446144, 233630977, 12670978, 141519619, 210692869, 162361096, 84229640, 233577482, 141545483, 210717965, 162306834, 4439574, 162439959, 73580315, 212738204, 214750109, 162663709, 4430373, 84021542, 4329511, 235861415, 143568037, 235824295, 73643557, 235694251, 145757349, 212600239, 162406191, 84060209, 233709617, 143427765, 164553654, 164589753, 84068921, 75673021, 164420797, 145635007, 160689600, 86115778, 75583939, 235674873, 14815431, 83974220, 73535567, 73637200, 14854869, 233925209, 14861789, 75955684, 6471143, 212620909, 229853296, 143617265, 145675634, 145929073, 164458484, 214810485, 212790262, 86326774, 216947192, 143642873]",61
5199758.0,[12.67337276],[11.7457272],[-0.20825851],[0.75932959],6,"[220812770, 71586535, 135266412, 151613625, 2367098]",5
5199800.0,[21.96952886],[12.51867764],[0.53876115],[-0.10513784],6,"[67445302, 175469312, 251000927, 177564655]",4
5202347.0,[24.55705672],[19.61706401],[0.36213534],[1.70870785],7,"[75940730, 217339679, 6620045, 148131730]",4
5203326.0,[7.63805927],[7.34947766],[-0.14781307],[-0.68526552],37,"[168712707, 248663555, 69526659, 252658556, 246536847, 244341136, 248434706, 86260887, 69359643, 252568483, 177197863, 84269866, 67527342, 2165936, 168889393, 171048369, 246310836, 86176697, 86169019, 69275454, 244174919, 170837193, 179277906, 14966866, 250762706, 2517979, 179519970, 15057638, 179202927, 170810100, 250532854, 14875772, 14862205]",33
5205866.0,[7.19580536],[7.12051616],[0.0850255],[0.40582206],16,"[73631045, 69446886, 183522567, 183522317, 67344685, 73495442, 244818, 6522866, 6506680]",9
5206733.0,[11.66123942],[11.37791038],[0.12714546],[0.25075867],13,"[179308590, 77733198, 67241264, 215124975, 144025555]",5
5210904.0,[11.5681679],[11.55431361],[-0.02223248],[-1.21134104],25,"[248558816, 158303809, 79843458, 173408772, 165007877, 69583479, 231643561, 248761038, 160607165, 175200878, 79845458, 80037239, 175406393, 10638781, 175506143]",15
5211433.0,[28.33885262],[28.15726239],[0.06755958],[0.31693028],20,"[154347427, 223620772, 175063941, 67465801, 175467119, 225627601, 152355413]",7
5213222.0,[15.96014858],[15.94175575],[-0.02171459],[0.45863027],81,"[181296896, 8799744, 69365634, 217116160, 8563972, 79834756, 352264, 181548302, 79999119, 79846544, 181363732, 181346456, 181515165, 150005278, 208964640, 69557920, 150047136, 213148451, 71521060, 181435045, 183838756, 217224487, 219030696, 368680, 149902637, 181631152, 10793905, 259112880, 163636, 258859958, 149891899, 183793981, 69576381, 80062655, 146073023, 256789568, 69371077, 79868359, 149858376, 150856, 2165962, 71732299, 8519372, 80103885, 219077196, 150150605, 77712592, 401233, 148177361, 4402642, 69524691, 69357783, 8679511, 217274329, 2259419, 10854623, 257097567, 219064929, 148104034, 77874786, 10678754, 69605862, 256809830, 10896873, 219213804, 69275246, 219031919, 183394288, 10661105, 4613877, 181327990, 2449657]",72
5214684.0,[25.10161252],[24.75795885],[0.09656234],[0.52643386],19,"[67271041, 179526013, 255209290, 202744107, 154646218, 139843537, 69566898, 6506684, 73603602, 181222776, 363545, 137478874, 183292635, 257025980, 181554875, 177665567]",16
5216195.0,[26.63798489],[22.13503273],[-0.32170134],[-1.0309694],6,"[231612282, 445354775, 160370333, 81989943]",4
5217032.0,[16.29395813],[15.8189613],[-0.12912615],[0.95855266],6,"[227269156, 73665989, 139522958, 158085550, 4586359]",5
5219737.0,[21.57840696],[13.49729507],[-0.49057084],[-0.92060914],6,"[82094694, 12867306, 162404011, 233608723, 447473878]",5
5223676.0,[11.28479614],[8.87812434],[0.3731726],[1.13600268],4,"[215275593, 146057446, 73827886]",3
5224467.0,[25.36309232],[25.29280212],[0.04608321],[1.61790592],16,"[240350304, 145921028, 148146820, 217192647, 6624298, 217323051, 75828783, 148018418, 240570516, 169082071]",10
5224551.0,[16.01931364],[12.44975085],[0.38164042],[1.31835773],6,"[73802825, 215305441, 4613420, 143993933]",4
5231758.0,[21.24212877],[21.2400618],[0.01258584],[1.13145447],53,"[79846402, 73770500, 139376645, 4302855, 158259466, 81966219, 158162443, 79954701, 10638988, 158191499, 208470928, 208498838, 6666390, 141948056, 141701018, 4378912, 10663203, 229435435, 229530157, 73545776, 227442480, 81897912, 73579835, 139323202, 139297602, 227582786, 208551493, 6438344, 229460685, 211130062, 10594638, 227811662, 208549716, 73508693, 141517781, 210882006, 158271448, 6471132, 73584483, 141476836, 158414308, 158645223, 75868145, 141474035, 6400244, 81943797, 160259832]",47
5238047.0,[12.41720737],[12.3854759],[-0.03472073],[-0.52220585],15,"[183274755, 6478281, 166596681, 135040235, 258746027, 81864975, 240150575, 166789233, 258917711, 73583701, 84161241, 242055644, 135208095]",13
5238084.0,[24.895588],[24.16697976],[-0.12938416],[-1.64190859],10,"[222805743, 170490479, 8768433, 77979027, 150023514]",5
5238719.0,[19.91869838],[19.70461132],[0.08609473],[1.4384418],12,"[165141434, 145925035, 215102358, 75831406]",4
5239617.0,[23.11986018],[23.10873804],[0.02203408],[-0.00805955],18,"[215050954, 250869675, 139881517, 175394957, 145879662, 173021009, 173174324, 248641720, 15022681, 86324285, 77948831]",11
5240270.0,[26.3835865],[24.19165432],[-0.22236067],[0.56595855],10,"[420715203, 403739587, 489905797, 69497357, 181416750, 485335729, 256863286, 416152957]",8
5240533.0,[23.77170598],[23.77074916],[0.00983017],[-0.43382473],37,"[164636929, 81873542, 238008074, 206414347, 10552723, 139338005, 81959063, 75565854, 8619424, 10880035, 206720039, 139649065, 164510765, 75584817, 75728946, 237879092, 8804291, 164552005, 10655943, 75916104, 208625868, 208530898, 237918036, 141454553, 82015835, 141552092, 10895199, 10895201, 166629608, 8475001, 8456297, 239997931, 81854832, 166734321, 208511737]",35
5243122.0,[20.34720473],[20.34661765],[0.00065878],[-1.53590873],42,"[171055744, 171012481, 242318355, 77946773, 151744928, 171047585, 221354145, 149984295, 77899431, 244423081, 355502, 8740787, 67464885, 77944764, 150083646, 281023, 77971136, 77948097, 67387335, 8690631, 368078, 244423633, 221325268, 8738519, 171054680, 67475930, 170732122, 221354204, 8764636, 244383454, 221356255, 223001056, 513236705, 351714, 67460585, 150056305, 150083955, 150085237, 221249403, 439854973]",40
5243928.0,[28.70992107],[19.1642096],[0.46978944],[-1.35318199],4,"[225604656, 79914628, 10729157, 154291983]",4
5247333.0,[16.22049006],[10.40890135],[-0.47898897],[1.67782118],6,"[218863943, 431162036, 75720502, 147664150, 6489407]",5
5248177.0,[24.72806355],[24.31622037],[0.10602925],[-1.26797206],5,"[225609049, 154329659, 80025015]",3
5250044.0,[28.86393856],[28.08617629],[-0.12392461],[-0.73102534],10,"[162610576, 233868572, 82163263]",3
5251010.0,[27.7569992],[26.90574118],[-0.13257619],[0.16469985],10,"[250470852, 67266477, 152270, 485941936, 448172497, 175016788, 414746260, 481817405]",8
5251208.0,[24.54555008],[19.49291676],[-0.35669542],[-0.40428145],6,"[168821195, 84272141, 242153943]",3
5252159.0,[19.36544015],[14.03768597],[-0.41579579],[0.86824022],6,"[208319722, 73502890, 4276564, 139191462]",4
5252307.0,[27.46297717],[27.37797398],[-0.03869833],[1.22999237],24,"[75575938, 143534314, 81856877, 231614736, 10554903, 141639996]",6
5255474.0,[15.54440377],[15.53821514],[0.02048467],[1.49493193],47,"[14826245, 216964998, 164358793, 73548555, 235856141, 86413711, 145577235, 214959892, 145787542, 6646939, 164509215, 75852704, 86187813, 145697062, 14777386, 145890868, 238191797, 310198, 206268, 86128957, 217020355, 235784261, 73719368, 166921933, 73614671, 15111509, 6728152, 166681050, 6403036, 75612381, 75935453, 86079074, 145923427, 145754982, 4407400, 238060405, 216842363]",37
5255590.0,[25.66822156],[25.26914998],[0.10259808],[1.10053748],6,"[73585105, 160882004, 139399589, 206484494]",4
5255700.0,[17.30388326],[17.26458692],[0.04217687],[-0.63871316],15,"[259160389, 73802957, 255375826, 135466197, 4593237, 82019189, 164916415]",7
5258576.0,[28.08899864],[26.25828715],[-0.19608322],[-0.51657201],6,"[473029656, 164605845, 82111037, 405933590]",4
5260954.0,[28.13777972],[15.45842825],[-0.54267026],[-1.47202118],4,"[225136080, 153931419, 79926940, 10691790]",4
5260976.0,[26.71149986],[25.02753599],[-0.19273299],[0.63068695],11,"[492096096, 422907074, 409945866, 183519850, 527527281, 71593150]",6
5263798.0,[13.11719063],[8.58328019],[-0.46981891],[0.87428015],6,"[141299840, 71472939, 4337379, 212487374]",4
5264896.0,[17.80121049],[17.37311119],[0.12650906],[-1.26127054],9,"[156384737, 80067516, 248958829]",3
5265125.0,[25.20606449],[21.15528321],[0.32304137],[0.11792372],15,"[67519590, 146305480, 145845900, 179067118, 77940399, 255053812, 213367927]",7
5274260.0,[9.7120752],[9.65148365],[-0.05700896],[-1.49592895],37,"[86356256, 156298081, 14948227, 229666212, 156392424, 15053578, 15046795, 156337421, 156335855, 229710457, 231789810, 86348185, 80148956, 227599934, 156341567]",15
5278437.0,[10.34687061],[10.31429716],[-0.03907601],[1.46255871],23,"[219012768, 6590085, 147752294, 231472263, 75796362, 160190507, 75668811, 84180811, 231787278, 147985610, 6636465, 231678290, 162608275, 147903924, 162499034, 84031614]",16
5278445.0,[21.73499922],[17.21338985],[0.36841451],[-0.18380991],5,"[86189145, 14901321, 676469364, 743507277]",4
5278494.0,[6.73641851],[6.55210111],[0.13468194],[-0.39247776],12,"[69663649, 181653794, 2542581]",3
5279543.0,[21.03437721],[20.8107233],[0.08565668],[-1.53194926],10,"[244699297, 167194468, 79978093, 238465687, 154238138, 171338366]",6
5280514.0,[11.54171973],[10.75530718],[0.21040263],[-1.46933316],8,"[171250881, 8530786, 242494884, 154165559, 77727258]",5
5281740.0,[26.84265139],[26.82029322],[0.02745753],[-0.58520335],45,"[139190016, 158476002, 12758692, 139403301, 227933157, 82167657, 73554028, 225985935, 208511152, 144209105, 148315857, 73495187, 139336279, 81940249, 73679226, 12965595]",16
5283627.0,[27.35040047],[19.46075364],[0.43612685],[-1.47320549],4,"[223676872, 78041473, 8724147, 152362638]",4
5284746.0,[16.88910227],[16.2470818],[-0.14825688],[0.07719898],5,"[250636168, 175183907, 67490667]",3
5290048.0,[27.77707017],[27.70200211],[0.04556749],[-0.28871394],23,"[206946593, 168930114, 169144613, 206856029, 86373518, 139777622, 139779997]",7
5290196.0,[19.16430306],[19.16096041],[-0.00547516],[0.12474972],31,"[174845186, 67293573, 175079691, 212316691, 67184022, 8522391, 77729177, 145233565, 67370143, 214714276, 183722, 145709877, 77772475, 250482497, 261572, 404244170, 145537611, 145679180, 250302285, 252118356, 177118175, 176942834, 177177081]",23
5292485.0,[24.03128204],[23.89620722],[0.06358029],[-0.91719845],19,"[82165436, 139970731, 207041796, 156365100]",4
5293486.0,[15.85198819],[15.7661472],[-0.05277075],[-0.48780936],13,"[135123081, 2228043, 134898926, 71431569, 258604062]",5
5294171.0,[28.77941494],[24.40644768],[0.31400577],[-1.0742091],10,"[80074367, 156432434, 773109597, 701825319]",4
5295072.0,[10.2064357],[10.20563283],[-0.0020802],[-0.65472043],12,"[168989146, 84225660, 181678868, 242364301]",4
5295550.0,[25.13477461],[23.27967967],[-0.20913453],[-1.25766454],7,"[79782000, 445807860, 519191757, 156059830]",4
5295751.0,[11.94741937],[8.21203659],[-0.44519004],[0.93419671],5,"[143338407, 4296530, 214538717, 73523842]",4
5296534.0,[16.57732338],[16.43215376],[0.07817591],[0.3458126],18,"[244527760, 165171753, 86388264, 171155798]",4
5297403.0,[12.34986742],[12.34885164],[-0.00223645],[-0.0450088],18,"[86173537, 75608611, 166626695, 221086952, 240020969, 14870072, 6478925, 220962351, 221133233, 75684147, 166653204, 149687318, 237807510, 166541208, 6404921, 149863062, 86151228, 14848031]",18
5300461.0,[26.27123503],[26.26336818],[-0.0086827],[0.75606772],19,"[222961024, 183288609, 153946947, 225384867, 135386597, 183440139, 154112046, 153785044, 79827798, 225220287]",10
5302050.0,[21.58317148],[21.41377568],[0.07426083],[-0.01083147],14,"[141510978, 248138051, 75745989, 214950, 6535592, 175161771, 141957009, 174762420, 210674904, 140039801, 67319452, 248539709, 209022526]",13
5302815.0,[26.26790004],[26.10430216],[0.06667338],[1.28879936],10,"[75882403, 143778982, 162989897, 212957645, 6678899]",5
5304823.0,[15.94265284],[15.88636131],[0.05139551],[1.02176145],21,"[149754594, 158597956, 152137737, 73772681, 75903627, 154233835, 150096621, 208771405, 156503725, 219385418, 151793196, 148115637, 6690166, 79920662, 229863832, 139593497, 223581019, 75684159]",18
5305521.0,[28.1118351],[28.09842557],[-0.0122337],[-0.12073029],82,"[10872450, 6458884, 212739206, 6611846, 210812552, 141981322, 75812491, 257284492, 242279693, 75765264, 212617106, 168614419, 242357269, 143563799, 79776796, 6637853, 168874525, 75775007, 6660000, 143442465, 141895586, 79906592, 208770596, 8455068, 10900128, 75810087, 84194089, 75665706, 75860395, 170807468, 12923693, 242278446, 6691253, 143744694, 84225338, 6469947, 168910397, 80081213, 75893952, 143577793, 168985666, 8656576, 143699649, 12858692, 242559554, 75671105, 84161353, 75844943, 12851537, 8666066, 168910932, 84154708, 141695577, 143736025, 244080602, 210819936, 244339168, 170861282, 8700899, 209057124, 210651236, 210773606, 179728104, 80109674, 86055915, 169190252, 211123053, 8556269, 14751980, 14842604, 86144501, 208967286, 146134647, 244173689, 10562682, 10695292]",76
5308248.0,[26.92637898],[24.12815292],[-0.24972623],[1.73098755],6,"[149772012, 218925197, 8455921, 439322550, 77671135]",5
5308384.0,[20.69380326],[14.83318925],[0.43198071],[-1.31135687],7,"[229987313, 10919277, 80100894, 156577822]",4
5311975.0,[19.07606696],[19.06751604],[0.02143853],[-1.55753763],64,"[170583298, 225236104, 244173321, 152184458, 154173326, 152001425, 151963538, 152060567, 244286877, 170828575, 244237218, 77924389, 225439149, 79810737, 67207601, 243955256, 67293369, 184254, 172896958, 152201025, 100803, 77736259, 80006598, 77948233, 223454929, 77774930, 8717908, 170919766, 170869850, 77680731, 223272413, 223235039, 244195169, 223333348, 67253477, 456423, 223195880, 67564521, 144360, 67332841, 67471594, 10602989, 172680686, 223724, 173102059, 153971564, 8607852, 8743283, 223470198, 246270455, 8569469, 171040126]",52
5312167.0,[18.27119316],[16.00527982],[-0.2737518],[-0.87702481],7,"[81871736, 448023843, 160240643, 523512768]",4
