batch,track_id,hit_IDs,traj_ps,traj_pts,traj_lambdas,traj_phis,num_hits,correct_tracks,tid
2,38,"[153945494, 223121994, 71509854, 137102733]","[25.393952398213194, 25.393952398213194, 25, 25]","[25.393358087198024, 25.393358087198024, 25, 25]","[0.0010767163656456062, 0.0010767163656456062, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 0]",4,1,22842
2,39,"[153945494, 223066309, 71571915, 183591021]","[25.393952398213194, 25.393952398213194, 25, 25]","[25.393358087198024, 25.393358087198024, 25, 25]","[0.0010767163656456062, 0.0010767163656456062, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 0]",4,1,22842
2,43,"[154158499, 223335750, 71571915, 135054879]","[25.393952398213194, 25.393952398213194, 25, 25]","[25.393358087198024, 25.393358087198024, 25, 25]","[0.0010767163656456062, 0.0010767163656456062, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 0]",4,1,22842
2,47,"[154397872, 223568721, 71571915, 183629686]","[25.393952398213194, 25.393952398213194, 25, 25]","[25.393358087198024, 25.393358087198024, 25, 25]","[0.0010767163656456062, 0.0010767163656456062, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 0]",4,1,22842
2,48,"[154397872, 223441698, 71509854, 183591021]","[25.393952398213194, 25.393952398213194, 25, 25]","[25.393358087198024, 25.393358087198024, 25, 25]","[0.0010767163656456062, 0.0010767163656456062, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 0]",4,1,22842
2,55,"[183591021, 204347075, 71482745, 154077041]","[25.393952398213194, 25.393952398213194, 25, 25]","[25.393358087198024, 25.393358087198024, 25, 25]","[0.0010767163656456062, 0.0010767163656456062, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 0]",4,1,22842
4,0,"[6683581, 73780771, 73780771, 160331823, 141729241, 208823867]","[21.507038359300314, 21.507038359300314, 21, 7, 21, 21]","[19.415320679094677, 19.415320679094677, 19, 7, 19, 19]","[0.25101930030016906, 0.25101930030016906, 0, 0, 0, 0]","[1.0336206921177202, 1.0336206921177202, 1, -1, 1, 1]",6,1,57125
5,10,"[12947841, 84249776, 77939553, 135166129, 137586569, 204739711]","[21.136838620344445, 21.136838620344445, 21, 21, 10, 21]","[21.096403934568077, 21.096403934568077, 21, 21, 10, 21]","[0.03910820752572669, 0.03910820752572669, 0, 0, 0, 0]","[-0.4939380457363226, -0.4939380457363226, 0, 0, 0, 0]",6,1,55115
5,18,"[15019121, 77939553, 82160761, 170981539, 137791817, 204865630]","[10.909566510344236, 21.136838620344445, 21, 21, 21, 21]","[10.833031215113198, 21.096403934568077, 21, 21, 21, 21]","[0.07047712409759996, 0.03910820752572669, 0, 0, 0, 0]","[-0.3201822467790726, -0.4939380457363226, 0, 0, 0, 0]",6,1,55115
5,21,"[82160761, 171273057, 137791817, 202561027, 12947841, 82160761]","[21.136838620344445, 21.136838620344445, 21, 10, 21, 21]","[21.096403934568077, 21.096403934568077, 21, 10, 21, 21]","[0.03910820752572669, 0.03910820752572669, 0, 0, 0, 0]","[-0.4939380457363226, -0.4939380457363226, 0, 0, 0, 0]",6,1,55115
5,28,"[84249776, 167065792, 153735091, 246427853, 12947841, 77939553]","[21.136838620344445, 21.136838620344445, 25, 21, 21, 21]","[21.096403934568077, 21.096403934568077, 17, 21, 21, 21]","[0.03910820752572669, 0.03910820752572669, 0, 0, 0, 0]","[-0.4939380457363226, -0.4939380457363226, -1, 0, 0, 0]",6,1,55115
5,40,"[167065792, 248814707, 77939553, 137582230]","[21.136838620344445, 21.136838620344445, 21, 21]","[21.096403934568077, 21.096403934568077, 21, 21]","[0.03910820752572669, 0.03910820752572669, 0, 0]","[-0.4939380457363226, -0.4939380457363226, 0, 0]",4,1,55115
5,47,"[170981539, 258884231, 73510796, 135166129]","[21.136838620344445, 21.136838620344445, 21, 21]","[21.096403934568077, 21.096403934568077, 21, 21]","[0.03910820752572669, 0.03910820752572669, 0, 0]","[-0.4939380457363226, -0.4939380457363226, 0, 0]",4,1,55115
8,0,"[156399906, 229802233, 10808433, 79994657]","[19.26361619527704, 19.26361619527704, 19, 19]","[14.849404213494134, 14.849404213494134, 14, 14]","[0.3871548992821821, 0.3871548992821821, 0, 0]","[-1.1972859186119484, -1.1972859186119484, -1, -1]",4,1,73798
9,0,"[10914700, 80117033, 80117033, 158552021, 158552021, 229828039]","[22.714321262687058, 22.714321262687058, 22, 22, 22, 22]","[22.56062281665276, 22.56062281665276, 22, 22, 22, 22]","[0.06929412728972345, 0.06929412728972345, 0, 0, 0, 0]","[-1.139176417537487, -1.139176417537487, -1, -1, -1, -1]",6,1,74343
9,2,"[80117033, 177696053, 158552021, 253156064, 10914700, 84180313]","[22.714321262687058, 22.714321262687058, 22, 22, 22, 23]","[22.56062281665276, 22.56062281665276, 22, 22, 22, 19]","[0.06929412728972345, 0.06929412728972345, 0, 0, 0, 0]","[-1.139176417537487, -1.139176417537487, -1, -1, -1, 0]",6,1,74343
10,28,"[178811943, 523573639, 84120460, 448099074]","[17.65147104767982, 17.65147104767982, 17, 17]","[17.087639342883403, 17.087639342883403, 17, 17]","[-0.13542455480531884, -0.13542455480531884, 0, 0]","[-0.9339511137604768, -0.9339511137604768, 0, 0]",4,1,3469
10,29,"[178811943, 507046288, 84120460, 450196205]","[17.65147104767982, 17.65147104767982, 17, 17]","[17.087639342883403, 17.087639342883403, 17, 17]","[-0.13542455480531884, -0.13542455480531884, 0, 0]","[-0.9339511137604768, -0.9339511137604768, 0, 0]",4,1,3469
11,0,"[2262948, 81858602, 69367127, 179272671, 162395961, 235752829]","[14.405966167165895, 14.405966167165895, 14, 14, 14, 14]","[14.297917840674437, 14.297917840674437, 14, 14, 14, 14]","[-0.06297802915838209, -0.06297802915838209, 0, 0, 0, 0]","[-0.9134839475613806, -0.9134839475613806, 0, 0, 0, 0]",6,1,67065
11,1,"[12779189, 81858602, 69367127, 162395961, 162395961, 252647119]","[14.405966167165895, 14.405966167165895, 14, 14, 14, 14]","[14.297917840674437, 14.297917840674437, 14, 14, 14, 14]","[-0.06297802915838209, -0.06297802915838209, 0, 0, 0, 0]","[-0.9134839475613806, -0.9134839475613806, 0, 0, 0, 0]",6,1,67065
11,2,"[12779189, 69367127, 81858602, 179272671, 162395961, 250268186]","[14.405966167165895, 14.405966167165895, 14, 14, 14, 14]","[14.297917840674437, 14.297917840674437, 14, 14, 14, 14]","[-0.06297802915838209, -0.06297802915838209, 0, 0, 0, 0]","[-0.9134839475613806, -0.9134839475613806, 0, 0, 0, 0]",6,1,67065
11,3,"[12943089, 82151526, 81858602, 176889386, 162635891, 235995832]","[14.405966167165895, 14.405966167165895, 14, 14, 14, 14]","[14.297917840674437, 14.297917840674437, 14, 14, 14, 14]","[-0.06297802915838209, -0.06297802915838209, 0, 0, 0, 0]","[-0.9134839475613806, -0.9134839475613806, 0, 0, 0, 0]",6,1,67065
11,4,"[12943089, 69367127, 82151526, 162635891, 162635891, 252647119]","[14.405966167165895, 14.405966167165895, 14, 14, 14, 14]","[14.297917840674437, 14.297917840674437, 14, 14, 14, 14]","[-0.06297802915838209, -0.06297802915838209, 0, 0, 0, 0]","[-0.9134839475613806, -0.9134839475613806, 0, 0, 0, 0]",6,1,67065
11,5,"[82151526, 179272671, 162635891, 250268186, 2262948, 69367127]","[14.405966167165895, 14.405966167165895, 14, 14, 14, 14]","[14.297917840674437, 14.297917840674437, 14, 14, 14, 14]","[-0.06297802915838209, -0.06297802915838209, 0, 0, 0, 0]","[-0.9134839475613806, -0.9134839475613806, 0, 0, 0, 0]",6,1,67065
11,6,"[82151526, 176889386, 176889386, 250268186, 13013005, 69367127]","[14.405966167165895, 14.405966167165895, 14, 14, 9, 14]","[14.297917840674437, 14.297917840674437, 14, 14, 3, 14]","[-0.06297802915838209, -0.06297802915838209, 0, 0, 0, 0]","[-0.9134839475613806, -0.9134839475613806, 0, 0, 0, 0]",6,1,67065
11,7,"[179272671, 235752829, 69367127, 176889386]","[14.405966167165895, 14.405966167165895, 14, 14]","[14.297917840674437, 14.297917840674437, 14, 14]","[-0.06297802915838209, -0.06297802915838209, 0, 0]","[-0.9134839475613806, -0.9134839475613806, 0, 0]",4,1,67065
11,8,"[179272671, 250268186, 81858602, 162395961]","[14.405966167165895, 14.405966167165895, 14, 14]","[14.297917840674437, 14.297917840674437, 14, 14]","[-0.06297802915838209, -0.06297802915838209, 0, 0]","[-0.9134839475613806, -0.9134839475613806, 0, 0]",4,1,67065
12,0,"[10829765, 80125804, 80125804, 164683722, 158831541, 230205501]","[22.943810172959942, 22.943810172959942, 22, 21, 22, 22]","[10.319046810266506, 10.319046810266506, 10, 19, 10, 10]","[0.6161442453060387, 0.6161442453060387, 0, 0, 0, 0]","[-1.37378202081432, -1.37378202081432, -1, 0, -1, -1]",6,1,79375
